RECORDS	4107465
WEIGHTED_TOTAL_ALL_AGES	46574725.58
AGE	u11	5320426.82
AGE	11-14	1746785.99
AGE	15-24	4716821.31
AGE	25-34	6964591.30
AGE	35-44	7918587.11
AGE	45-54	6816856.09
AGE	55-64	5156883.83
AGE	65-74	3876122.17
AGE	75+	4057650.95
BASE11PLUS	41254298.76
SEX	male	20272126.58
SEX	female	20982172.18
SEX	other	0.00
BASE16PLUS	39083736.02
ECON	employed	17514551.85
ECON	unemployed	7377336.46
ECON	student	1934262.09
ECON	retired	8883960.17
ECON	other_inactive	3373625.46
ECON	blank_rela	0.00
STUDYING_BY_RELA	1	3318157.33
STUDYING_BY_RELA	2	748211.53
STUDYING_BY_RELA	3	294642.34
STUDYING_BY_RELA	4	27360.91
STUDYING_BY_RELA	5	237458.02
STUDYING_BY_RELA	6	1934262.09
BASE16_74	35026085.07
ECON1674	employed	17443246.20	0.498007
ECON1674	unemployed	7324467.88	0.209115
ECON1674	student	1929663.51	0.055092
ECON1674	retired	5250817.52	0.149912
ECON1674	other_inactive_incl_homemaker	3077889.96	0.087874
ECON1674	blank	0.00	0.000000
ECON1674	PARTITION_RESIDUAL	-0.00
