HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
1,11,111,11101,2,4,2,1,2,8,7,64000,6,2,2,3,3,5,3,1,4,1,1,3,1,1,20000,46,0,1,7,9,1,1,1,41b4c482,100,17976,3_Constraints,22785,3_Constraints
99,991,9911,991101,2,2,2,1,1,10,5,81000,6,2,3,1,1,5,2,0,4,1,1,3,1,4,16000,46,200000,2,5,2,1,1,1,bf1c17e2,133,23259,3_Constraints,26684,3_Constraints
109,1091,10911,1091101,2,4,1,2,1,13,2,32000,3,1,1,2,1,5,2,0,4,1,1,3,1,4,5000,24,0,1,5,2,1,1,1,8ec31aab,135,18122,3_Constraints,19081,3_Constraints
111,1111,11111,1111101,2,4,1,1,1,5,2,55000,4,2,2,1,1,5,1,0,4,1,1,3,1,4,9000,46,150000,1,4,2,1,1,1,5156ef6c,137,23756,3_Constraints,13414,3_Constraints
127,1271,12711,1271101,2,5,1,3,1,13,99,0,3,2,2,2,3,5,3,0,4,1,4,3,9,9,4000,24,0,1,0,9,1,1,1,ae4e92e7,141,10848,3_Constraints,19170,3_Constraints
137,1371,13711,1371101,2,5,2,1,1,3,6,85000,6,2,3,3,1,5,3,0,4,1,2,3,1,4,18000,35,330000,1,0,2,1,1,1,8247bd9b,146,27072,3_Constraints,19103,3_Constraints
216,2161,21611,2161101,1,4,1,2,1,5,2,22000,4,1,1,2,1,5,3,1,4,1,1,3,1,4,9000,24,0,1,4,2,1,1,1,3591c401,165,21001,3_Constraints,19876,3_Constraints
292,2921,29211,2921101,1,6,1,1,1,1,99,0,4,2,2,1,3,5,4,0,4,1,4,3,9,9,8000,46,500000,1,0,9,1,1,1,ce3c326b,191,17335,3_Constraints,18749,3_Constraints
320,3201,32011,3201101,2,4,1,3,1,5,7,40000,4,2,2,3,1,5,3,1,4,1,1,3,1,4,5000,24,150000,1,5,2,1,1,1,85e803a9,201,23292,3_Constraints,21653,3_Constraints
373,3731,37311,3731101,2,5,2,3,1,8,3,4000,2,1,1,1,3,5,4,0,1,2,1,3,2,4,0,24,110000,1,3,7,1,1,1,7a7e5d8a,214,13955,2_Core,20336,2_Core
396,3961,39611,3961101,2,7,1,1,1,13,5,18000,4,3,4,2,3,5,1,0,4,1,1,3,1,4,10000,10,0,1,3,2,1,1,1,7bb29f83,219,22487,3_Constraints,21731,3_Constraints
429,4291,42911,4291101,2,6,1,1,1,5,99,0,2,1,2,2,3,5,3,0,4,1,5,3,9,9,0,10,0,1,0,9,1,1,1,44f1359c,232,13957,2_Core,22707,2_Core
434,4341,43411,4341101,1,7,1,2,1,13,99,0,3,1,2,2,3,5,4,0,4,1,4,3,9,9,1000,24,0,1,0,9,1,1,1,ac462225,233,14104,3_Constraints,11480,3_Constraints
483,4831,48311,4831101,1,3,1,1,1,9,7,96000,6,1,1,2,1,5,3,1,2,1,1,3,1,5,24000,35,230000,1,5,2,1,1,1,84dd8d8b,245,20793,3_Constraints,20088,2_Core
578,5781,57811,5781101,2,2,2,1,1,13,1,21000,3,1,2,2,1,5,3,0,4,1,1,3,1,4,1000,10,0,1,5,7,1,1,1,d33bdc68,271,23259,3_Constraints,26351,3_Constraints
603,6031,60311,6031101,1,5,2,1,1,4,1,33000,4,2,2,2,3,5,3,1,1,2,1,3,1,4,7000,48,610000,1,4,6,1,1,1,9b930bbf,280,11445,3_Constraints,12011,1_Perfect
628,6281,62811,6281101,2,4,1,1,1,13,5,13000,3,2,2,1,3,5,1,0,1,2,1,3,1,4,1000,48,0,3,3,2,1,1,1,20a712e6,285,23292,3_Constraints,17214,2_Core
656,6561,65611,6561101,1,2,1,3,1,4,2,51000,4,2,2,2,1,5,1,0,4,1,1,3,1,4,10000,24,0,1,4,6,1,1,1,fd9aa7e4,291,23770,3_Constraints,14734,3_Constraints
668,6681,66811,6681101,2,7,1,3,1,13,99,0,2,1,1,2,3,5,2,0,3,1,5,3,9,9,0,48,0,1,0,9,1,1,1,c70d9dc8,295,24823,3_Constraints,13818,3_Constraints
696,6961,69611,6961101,2,7,2,1,1,13,9,1,3,3,4,1,3,5,3,0,3,1,4,3,1,5,1,46,380000,2,0,2,1,1,1,5b133c7e,299,14595,3_Constraints,15808,3_Constraints
731,7311,73111,7311101,1,4,2,1,1,13,99,0,3,2,2,2,3,5,3,0,2,1,4,3,9,9,0,46,0,1,0,9,1,1,1,042da18a,311,18366,3_Constraints,22785,3_Constraints
827,8271,82711,8271101,2,7,2,1,1,8,99,15000,4,2,2,1,3,5,3,0,3,1,4,3,9,9,7000,48,420000,1,0,9,1,1,1,fc6308f0,338,21144,3_Constraints,24330,2_Core
