SIMULATION RESULTS SUMMARY - MONTREAL
Simulation ID: MonteCarlo_N60_1771001406
Total Simulations: 241
Scenarios: 2025, 2015, 2005, Default

================================================================================
================================================================================
[SECTION] Annual Energy Demand Metrics (Aggregated)
================================================================================
Category,Scenario,Mean(kWh/m2),StdDev,CI_Lower,CI_Upper
Heating,2025,74.1326,3.1553,73.3175,74.9477
Heating,2015,79.1524,5.1654,77.8181,80.4868
Heating,2005,78.2130,4.3277,77.0951,79.3310
Heating,Default,70.3217,0.0000,70.3217,70.3217
Cooling,2025,1.5791,0.2084,1.5252,1.6329
Cooling,2015,1.3068,0.3091,1.2270,1.3867
Cooling,2005,1.4111,0.2886,1.3365,1.4856
Cooling,Default,1.7930,0.0000,1.7930,1.7930
Lighting,2025,3.4715,0.6774,3.2965,3.6465
Lighting,2015,2.5072,0.9926,2.2508,2.7636
Lighting,2005,2.7436,0.8735,2.5180,2.9693
Lighting,Default,4.3790,0.0000,4.3790,4.3790
Equipment,2025,44.9639,3.8180,43.9776,45.9502
Equipment,2015,38.2327,6.0100,36.6802,39.7853
Equipment,2005,39.8198,5.1269,38.4954,41.1442
Equipment,Default,48.0281,0.0000,48.0281,48.0281
DHW,2025,9.8972,1.9298,9.3987,10.3957
DHW,2015,6.0610,3.4298,5.1749,6.9470
DHW,2005,7.0683,2.8690,6.3272,7.8095
DHW,Default,11.7122,0.0000,11.7122,11.7122

================================================================================
================================================================================
[SECTION] Statistical Variability (Reference: Default)
================================================================================
Category,Comparison,P-Value,Significant?,Cohens_D
Heating,ANOVA (2005-2015-2025),0.00000,Yes,-
Heating,2025 vs Default,0.00000,Yes,1.2078
Heating,2015 vs Default,0.00000,Yes,1.7096
Heating,2005 vs Default,0.00000,Yes,1.8235
Cooling,ANOVA (2005-2015-2025),0.00000,Yes,-
Cooling,2025 vs Default,0.00000,Yes,-1.0263
Cooling,2015 vs Default,0.00000,Yes,-1.5729
Cooling,2005 vs Default,0.00000,Yes,-1.3236
Lighting,ANOVA (2005-2015-2025),0.00000,Yes,-
Lighting,2025 vs Default,0.00000,Yes,-1.3396
Lighting,2015 vs Default,0.00000,Yes,-1.8857
Lighting,2005 vs Default,0.00000,Yes,-1.8722
Equipment,ANOVA (2005-2015-2025),0.00000,Yes,-
Equipment,2025 vs Default,0.00000,Yes,-0.8026
Equipment,2015 vs Default,0.00000,Yes,-1.6298
Equipment,2005 vs Default,0.00000,Yes,-1.6010
DHW,ANOVA (2005-2015-2025),0.00000,Yes,-
DHW,2025 vs Default,0.00000,Yes,-0.9405
DHW,2015 vs Default,0.00000,Yes,-1.6477
DHW,2005 vs Default,0.00000,Yes,-1.6186

NOTE: All comparisons show p-values < 0.00001, indicating highly statistically significant differences.
Cohen's D values > 0.8 indicate large effect sizes (substantial practical significance).

================================================================================
================================================================================
[SECTION] Raw Simulation Data (Per Simulation)
================================================================================
Run_ID,Scenario,Heating,Cooling,Lighting,Equipment,DHW
1,2005,71.9607,1.7824,4.1334,48.0281,11.7122
2,2005,83.3710,1.0708,1.7300,33.5764,3.5311
3,2005,83.4057,1.0602,1.7300,33.5677,3.5096
4,2005,76.7061,1.4968,3.1624,42.1919,8.4047
5,2005,70.9197,1.8256,4.1147,47.8531,11.2373
6,2005,76.4267,1.5354,3.1624,42.1919,8.4047
7,2005,75.7246,1.6303,3.1624,42.1919,8.4047
8,2005,75.8825,1.6110,3.1624,42.1919,8.4047
9,2005,83.2539,1.0815,1.7300,33.5764,3.5311
10,2005,76.6411,1.5091,3.1624,42.1919,8.4047
11,2005,76.1634,1.5646,3.1624,42.1919,8.4047
12,2005,83.2026,1.0834,1.7300,33.5764,3.5311
13,2005,75.9220,1.5131,3.1624,42.1919,8.4047
14,2005,83.3692,1.0650,1.7300,33.5764,3.5311
15,2005,83.4067,1.0644,1.7300,33.5764,3.5311
16,2005,76.7752,1.4842,3.1624,42.1919,8.4047
17,2005,76.8522,1.4809,3.1624,42.1919,8.4047
18,2005,77.3666,1.4126,2.8541,41.3252,8.2455
19,2005,82.9465,1.1279,1.7300,33.5764,3.5311
20,2005,83.7014,1.0322,1.6031,33.2439,3.3942
21,2005,84.8137,0.9526,1.1237,32.2114,3.1126
22,2005,75.6619,1.6229,3.1624,42.1919,8.4047
23,2005,71.1109,1.8640,4.1334,48.0281,11.7122
24,2005,83.4949,1.0594,1.7300,33.5764,3.5311
25,2005,76.6573,1.5174,3.1624,42.1919,8.4047
26,2005,83.4437,1.0650,1.7300,33.5764,3.5311
27,2005,83.4962,1.0595,1.7300,33.5502,3.5150
28,2005,74.5138,1.7584,3.1624,42.1919,8.4047
29,2005,76.7566,1.4902,3.1624,42.1919,8.4047
30,2005,83.4736,1.0522,1.7300,33.5414,3.4372
31,2005,69.8925,1.9701,4.1334,48.0281,11.7122
32,2005,75.9847,1.5664,3.1624,42.1919,8.4047
33,2005,76.3863,1.5387,3.1624,42.1919,8.4047
34,2005,71.3123,1.8538,4.1334,48.0281,11.7122
35,2005,76.3393,1.5437,3.1624,42.1919,8.4047
36,2005,76.1446,1.5690,3.1624,42.1919,8.4047
37,2005,83.2915,1.0878,1.7300,33.5764,3.5311
38,2005,76.4891,1.5105,3.1624,42.1919,8.4047
39,2005,70.0346,2.0256,4.1334,48.0281,11.7122
40,2005,71.9198,1.7798,4.1334,48.0281,11.7122
41,2005,76.4210,1.5410,3.1624,42.1919,8.4047
42,2005,80.0949,1.3052,1.7903,38.0752,6.7060
43,2005,83.3177,1.0789,1.7300,33.5764,3.5311
44,2005,83.3187,1.0841,1.7300,33.5764,3.5311
45,2005,75.8836,1.6305,3.1624,42.1919,8.4047
46,2005,76.6117,1.5049,3.1624,42.1919,8.4047
47,2005,83.5944,1.0492,1.6959,33.4714,3.5096
48,2005,76.4891,1.5105,3.1624,42.1919,8.4047
49,2005,76.0632,1.5786,3.1624,42.1919,8.4047
