SIM_HH_ID,Day_Type,Hour,HHSIZE,DTYPE,BEDRM,CONDO,ROOM,REPAIR,PR,Occupancy_Schedule,Metabolic_Rate
145,Weekday,0,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekday,1,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekday,2,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekday,3,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekday,4,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,5,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,6,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,7,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,8,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,9,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,10,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,11,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,12,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,13,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,14,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,15,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,16,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,17,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,18,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,19,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,20,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekday,21,1,MidRise,2,0,2,1,Quebec,0.500,85.000
145,Weekday,22,1,MidRise,2,0,2,1,Quebec,1.000,120.000
145,Weekday,23,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,0,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,1,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,2,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,3,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,4,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,5,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,6,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,7,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,8,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,9,1,MidRise,2,0,2,1,Quebec,1.000,70.000
145,Weekend,10,1,MidRise,2,0,2,1,Quebec,1.000,85.000
145,Weekend,11,1,MidRise,2,0,2,1,Quebec,1.000,100.000
145,Weekend,12,1,MidRise,2,0,2,1,Quebec,1.000,153.800
145,Weekend,13,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekend,14,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekend,15,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekend,16,1,MidRise,2,0,2,1,Quebec,0.000,0.000
145,Weekend,17,1,MidRise,2,0,2,1,Quebec,0.500,42.500
145,Weekend,18,1,MidRise,2,0,2,1,Quebec,1.000,85.000
145,Weekend,19,1,MidRise,2,0,2,1,Quebec,1.000,130.000
145,Weekend,20,1,MidRise,2,0,2,1,Quebec,1.000,85.000
145,Weekend,21,1,MidRise,2,0,2,1,Quebec,1.000,85.000
145,Weekend,22,1,MidRise,2,0,2,1,Quebec,1.000,85.000
145,Weekend,23,1,MidRise,2,0,2,1,Quebec,1.000,70.000
146,Weekday,0,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekday,1,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekday,2,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekday,3,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekday,4,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekday,5,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekday,6,1,HighRise,1,1,2,1,Quebec,1.000,110.400
146,Weekday,7,1,HighRise,1,1,2,1,Quebec,1.000,110.800
146,Weekday,8,1,HighRise,1,1,2,1,Quebec,0.083,10.400
146,Weekday,9,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,10,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,11,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,12,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,13,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,14,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,15,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,16,1,HighRise,1,1,2,1,Quebec,0.333,41.700
146,Weekday,17,1,HighRise,1,1,2,1,Quebec,1.000,90.000
146,Weekday,18,1,HighRise,1,1,2,1,Quebec,1.000,105.000
146,Weekday,19,1,HighRise,1,1,2,1,Quebec,1.000,110.000
146,Weekday,20,1,HighRise,1,1,2,1,Quebec,1.000,85.000
146,Weekday,21,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,22,1,HighRise,1,1,2,1,Quebec,1.000,125.000
146,Weekday,23,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekend,0,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekend,1,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekend,2,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekend,3,1,HighRise,1,1,2,1,Quebec,1.000,70.000
146,Weekend,4,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,5,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,6,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,7,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,8,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,9,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,10,1,HighRise,1,1,2,1,Quebec,1.000,175.000
146,Weekend,11,1,HighRise,1,1,2,1,Quebec,1.000,175.000
146,Weekend,12,1,HighRise,1,1,2,1,Quebec,0.750,67.500
146,Weekend,13,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,14,1,HighRise,1,1,2,1,Quebec,0.000,0.000
146,Weekend,15,1,HighRise,1,1,2,1,Quebec,0.167,29.200
146,Weekend,16,1,HighRise,1,1,2,1,Quebec,1.000,175.000
146,Weekend,17,1,HighRise,1,1,2,1,Quebec,1.000,175.000
146,Weekend,18,1,HighRise,1,1,2,1,Quebec,1.000,140.000
146,Weekend,19,1,HighRise,1,1,2,1,Quebec,1.000,175.000
146,Weekend,20,1,HighRise,1,1,2,1,Quebec,1.000,107.500
146,Weekend,21,1,HighRise,1,1,2,1,Quebec,1.000,85.000
146,Weekend,22,1,HighRise,1,1,2,1,Quebec,1.000,77.500
146,Weekend,23,1,HighRise,1,1,2,1,Quebec,1.000,70.000
150,Weekday,0,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,1,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,2,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,3,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,4,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,5,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,6,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,7,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekday,8,1,MidRise,2,0,2,1,British Columbia,0.750,94.600
150,Weekday,9,1,MidRise,2,0,2,1,British Columbia,1.000,125.000
150,Weekday,10,1,MidRise,2,0,2,1,British Columbia,1.000,125.000
150,Weekday,11,1,MidRise,2,0,2,1,British Columbia,1.000,125.000
150,Weekday,12,1,MidRise,2,0,2,1,British Columbia,1.000,142.500
150,Weekday,13,1,MidRise,2,0,2,1,British Columbia,1.000,125.000
150,Weekday,14,1,MidRise,2,0,2,1,British Columbia,1.000,125.000
150,Weekday,15,1,MidRise,2,0,2,1,British Columbia,1.000,125.000
150,Weekday,16,1,MidRise,2,0,2,1,British Columbia,1.000,133.300
150,Weekday,17,1,MidRise,2,0,2,1,British Columbia,0.833,145.800
150,Weekday,18,1,MidRise,2,0,2,1,British Columbia,0.000,0.000
150,Weekday,19,1,MidRise,2,0,2,1,British Columbia,0.000,0.000
150,Weekday,20,1,MidRise,2,0,2,1,British Columbia,0.167,28.300
150,Weekday,21,1,MidRise,2,0,2,1,British Columbia,1.000,128.800
150,Weekday,22,1,MidRise,2,0,2,1,British Columbia,1.000,87.500
150,Weekday,23,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,0,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,1,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,2,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,3,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,4,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,5,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,6,1,MidRise,2,0,2,1,British Columbia,1.000,70.000
150,Weekend,7,1,MidRise,2,0,2,1,British Columbia,1.000,87.500
150,Weekend,8,1,MidRise,2,0,2,1,British Columbia,0.750,96.200
150,Weekend,9,1,MidRise,2,0,2,1,British Columbia,1.000,175.000
150,Weekend,10,1,MidRise,2,0,2,1,British Columbia,0.250,43.800
150,Weekend,11,1,MidRise,2,0,2,1,British Columbia,0.000,0.000
150,Weekend,12,1,MidRise,2,0,2,1,British Columbia,0.750,52.500
150,Weekend,13,1,MidRise,2,0,2,1,British Columbia,1.000,175.000
150,Weekend,14,1,MidRise,2,0,2,1,British Columbia,1.000,175.000
150,Weekend,15,1,MidRise,2,0,2,1,British Columbia,0.500,67.500
