HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2021,NOC21,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,PID,HHSIZE,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
103408,1034081,10340811,1034081104,1,2,1,3,0,6,88,68000,69000,4,5,3,1,4,4,1,1,2,1,2,1,1,9000,35,800000,1,5,9,7e5b5411,4,106347,9652,3_Constraints,1900,5_Random
91053,910531,9105311,910531101,2,4,1,1,0,10,99,99999999,54000,3,8,3,3,3,5,0,4,1,4,1,9,9,1,35,99999999,2,0,9,a4689a70,3,106585,3098,4_FailSafe,4153,4_FailSafe
90793,907931,9079311,907931102,1,2,2,1,0,5,2,130000,130000,3,7,3,2,2,8,0,4,1,1,2,1,4,34000,35,1300000,1,5,6,a49c76a0,4,106585,7407,4_FailSafe,1900,5_Random
91114,911141,9111411,911141101,1,3,2,1,0,8,8,87000,86000,4,8,1,2,2,9,0,4,1,1,1,1,2,18000,48,450000,1,5,2,6491fdfb,3,106630,3098,4_FailSafe,4153,4_FailSafe
91483,914831,9148311,914831101,2,5,2,1,0,13,99,1000,48000,3,5,1,1,1,4,0,4,1,4,1,9,9,6000,59,360000,1,0,9,5d6bd4e8,2,106875,5056,3_Constraints,7913,4_FailSafe
92272,922721,9227211,922721101,2,4,2,1,0,1,99,99999999,1,2,3,1,1,1,4,0,4,1,4,1,9,9,99999999,46,260000,1,0,9,96f1af39,2,107402,6889,3_Constraints,7913,4_FailSafe
92730,927301,9273011,927301101,2,2,2,3,0,8,8,75000,81000,3,10,1,1,1,5,0,4,1,1,1,1,2,18000,24,310000,1,5,2,558249bd,2,107724,1495,4_FailSafe,9179,3_Constraints
2643,26431,264312,26431203,1,3,2,1,0,2,88,99999999,99999999,2,6,2,2,1,10,1,1,3,1,2,2,8,99999999,59,99999999,1,1,9,6fc8c4f5,4,107724,7407,4_FailSafe,1900,5_Random
93041,930411,9304111,930411101,2,5,2,1,0,6,5,120000,110000,5,8,1,2,2,10,0,4,1,1,1,1,4,23000,48,610000,1,6,2,4174fe55,4,107946,7407,4_FailSafe,1900,5_Random
124407,1244071,12440711,1244071102,2,3,1,1,8,13,88,7000,13000,5,11,1,2,2,5,0,4,1,1,2,3,1,99999999,46,100000,1,10,9,3045af86,4,107946,8727,3_Constraints,1900,5_Random
