HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2021,NOC21,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,PID,HHSIZE,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
113,1131,11311,1131101,1,3,1,3,0,2,99,99999999,15000,3,4,1,1,6,3,0,1,3,4,3,9,9,99999999,35,650000,1,0,9,c12453f5,1,134,5812,4_FailSafe,11469,4_FailSafe
319,3191,31911,3191101,1,7,2,1,0,8,99,1,95000,2,4,2,3,6,7,1,3,1,4,3,9,9,20000,59,630000,1,0,9,322ddc9b,1,189,9294,1_Perfect,11469,4_FailSafe
722,7221,72211,7221101,2,6,1,1,0,13,7,17000,40000,1,3,2,3,6,4,0,4,1,1,3,1,5,6000,10,99999999,1,3,5,de9b9022,1,300,2318,3_Constraints,10478,3_Constraints
1052,10521,105211,10521101,2,3,1,1,0,4,5,81000,82000,3,5,1,1,6,2,0,4,1,1,3,1,1,13000,35,310000,1,5,9,c72d8ce5,1,401,5812,4_FailSafe,11469,4_FailSafe
1321,13211,132111,13211101,1,1,1,3,1,8,2,99999999,3000,1,2,2,1,6,11,1,1,3,3,3,1,9,99999999,24,99999999,1,0,9,8a82378b,1,481,3136,3_Constraints,11469,4_FailSafe
1488,14881,148811,14881101,2,6,1,1,0,13,99,99999999,31000,4,7,1,3,6,10,0,4,1,4,3,9,9,2000,35,460000,1,0,9,6c218108,1,526,2318,3_Constraints,11469,2_Core
1976,19761,197611,19761101,2,5,2,2,0,13,8,88000,89000,2,5,2,1,6,6,1,4,1,1,3,1,7,21000,24,99999999,1,5,2,08b4a09c,1,677,5812,4_FailSafe,11469,4_FailSafe
2233,22331,223311,22331101,2,1,2,1,0,11,5,16000,22000,2,4,2,1,6,5,1,4,1,1,3,1,6,99999999,46,99999999,2,6,2,010d0a99,1,756,5812,4_FailSafe,7630,2_Core
2789,27891,278911,27891101,1,4,2,1,0,13,8,3000,26000,5,6,1,1,6,4,0,1,2,1,3,1,4,6000,35,900000,2,3,2,6e6a4d04,1,918,11798,3_Constraints,11469,4_FailSafe
3234,32341,323411,32341101,1,7,1,1,0,13,99,99999999,25000,1,3,2,3,6,4,0,4,1,5,3,9,9,99999999,35,99999999,3,0,9,f10c6fbb,1,1058,3873,3_Constraints,11469,4_FailSafe
3749,37491,374911,37491101,2,7,1,1,0,10,99,99999999,18000,3,6,1,3,6,3,0,4,1,4,3,9,9,99999999,35,510000,1,0,9,3149bc27,1,1203,3873,3_Constraints,11469,4_FailSafe
4268,42681,426811,42681101,2,6,2,1,0,8,99,99999999,23000,2,4,1,3,6,2,0,4,1,4,3,9,9,99999999,35,510000,2,0,9,b3336613,1,1348,8940,3_Constraints,11469,4_FailSafe
4345,43451,434511,43451101,2,4,1,1,0,13,9,46000,46000,4,11,1,1,6,6,0,4,1,1,3,2,4,1000,48,640000,1,10,2,da2e0cc8,1,1376,3404,3_Constraints,11469,4_FailSafe
4390,43901,439011,43901101,1,3,1,1,1,5,8,60000,61000,1,2,3,3,6,11,1,1,3,1,3,2,1,10000,35,99999999,1,5,9,634fa7b6,1,1390,5812,4_FailSafe,11469,4_FailSafe
4617,46171,461711,46171101,1,4,2,3,0,5,7,40000,49000,1,2,2,1,6,9,1,4,1,1,3,1,4,4000,48,99999999,1,5,2,40320eba,1,1458,11798,3_Constraints,11469,4_FailSafe
5087,50871,508711,50871101,1,5,1,3,0,13,2,42000,56000,1,2,2,3,6,4,0,1,2,1,3,1,2,11000,24,99999999,1,7,2,63ee8afc,1,1588,6252,3_Constraints,11469,4_FailSafe
5382,53821,538211,53821101,1,4,1,1,0,11,7,2000,23000,2,8,1,3,6,7,0,4,1,1,3,2,1,1000,48,460000,1,3,9,de922681,1,1687,3404,3_Constraints,11469,4_FailSafe
5643,56431,564311,56431101,2,6,2,2,0,4,99,99999999,77000,1,3,2,3,6,11,1,4,1,4,3,9,9,20000,24,250000,1,0,9,70803a4d,1,1768,8940,3_Constraints,11469,4_FailSafe
5797,57971,579711,57971101,1,2,2,1,0,2,3,68000,68000,1,2,2,1,6,4,1,4,1,1,3,1,1,11000,59,99999999,2,5,9,b955076f,1,1818,5683,3_Constraints,11469,4_FailSafe
6458,64581,645811,64581101,2,6,2,2,0,5,7,19000,70000,2,4,2,1,6,6,1,4,1,4,3,1,9,13000,24,99999999,1,0,9,61c349d7,1,1998,8940,3_Constraints,11469,4_FailSafe
6460,64601,646011,64601101,1,3,2,1,0,7,3,77000,78000,3,4,3,1,6,10,0,2,1,1,3,1,1,13000,48,300000,1,4,9,26c59a8b,1,2000,12427,3_Constraints,5288,3_Constraints
7032,70321,703211,70321101,1,6,1,1,0,13,99,99999999,17000,5,10,1,3,6,4,0,1,2,5,3,9,9,99999999,24,660000,2,0,9,27a0485c,1,2160,2318,3_Constraints,10478,3_Constraints
7331,73311,733111,73311101,2,5,1,2,0,10,4,38000,39000,2,4,2,3,6,4,0,4,1,2,3,1,5,4000,24,99999999,1,0,2,38cd1aea,1,2243,6252,3_Constraints,11469,4_FailSafe
7419,74191,741911,74191101,2,5,1,1,0,13,8,84000,100000,3,5,1,1,6,2,0,4,1,1,3,1,4,21000,59,300000,2,4,2,51f83f1b,1,2266,6252,3_Constraints,11469,4_FailSafe
7530,75301,753011,75301101,1,2,1,3,0,5,2,55000,57000,1,4,2,1,6,3,0,4,1,1,3,1,1,7000,48,99999999,2,6,9,df87e0ad,1,2304,5812,4_FailSafe,11469,4_FailSafe
