============================================================
Step 4E — Inference  
============================================================
  data_dir:   outputs_step4
  checkpoint: outputs_step4/checkpoints/best_model.pt
  output:     outputs_step4/augmented_diaries.csv
  temperature: 0.8
  Device: cuda

[1/4] Loading tensor datasets...
  Total respondents: 64061
  Metadata: (64061, 16)

[2/4] Loading model checkpoint...
  checkpoint (absolute): /nfs/speed-scratch/o_iseri/occModeling/outputs_step4/checkpoints/best_model.pt (44.9 MB)
  Loaded from epoch 0  val_JS=0.09280065428545976

[3/4] Generating synthetic diaries...
  Processed 256/64061 respondents (0.4%)
  Processed 512/64061 respondents (0.8%)
  Processed 768/64061 respondents (1.2%)
  Processed 1024/64061 respondents (1.6%)
  Processed 1280/64061 respondents (2.0%)
  Processed 1536/64061 respondents (2.4%)
  Processed 1792/64061 respondents (2.8%)
  Processed 2048/64061 respondents (3.2%)
  Processed 2304/64061 respondents (3.6%)
  Processed 2560/64061 respondents (4.0%)
  Processed 2816/64061 respondents (4.4%)
  Processed 3072/64061 respondents (4.8%)
  Processed 3328/64061 respondents (5.2%)
  Processed 3584/64061 respondents (5.6%)
  Processed 3840/64061 respondents (6.0%)
  Processed 4096/64061 respondents (6.4%)
  Processed 4352/64061 respondents (6.8%)
  Processed 4608/64061 respondents (7.2%)
  Processed 4864/64061 respondents (7.6%)
  Processed 5120/64061 respondents (8.0%)
  Processed 5376/64061 respondents (8.4%)
  Processed 5632/64061 respondents (8.8%)
  Processed 5888/64061 respondents (9.2%)
  Processed 6144/64061 respondents (9.6%)
  Processed 6400/64061 respondents (10.0%)
  Processed 6656/64061 respondents (10.4%)
  Processed 6912/64061 respondents (10.8%)
  Processed 7168/64061 respondents (11.2%)
  Processed 7424/64061 respondents (11.6%)
  Processed 7680/64061 respondents (12.0%)
  Processed 7936/64061 respondents (12.4%)
  Processed 8192/64061 respondents (12.8%)
  Processed 8448/64061 respondents (13.2%)
  Processed 8704/64061 respondents (13.6%)
  Processed 8960/64061 respondents (14.0%)
  Processed 9216/64061 respondents (14.4%)
  Processed 9472/64061 respondents (14.8%)
  Processed 9728/64061 respondents (15.2%)
  Processed 9984/64061 respondents (15.6%)
  Processed 10240/64061 respondents (16.0%)
  Processed 10496/64061 respondents (16.4%)
  Processed 10752/64061 respondents (16.8%)
  Processed 11008/64061 respondents (17.2%)
  Processed 11264/64061 respondents (17.6%)
  Processed 11520/64061 respondents (18.0%)
  Processed 11776/64061 respondents (18.4%)
  Processed 12032/64061 respondents (18.8%)
  Processed 12288/64061 respondents (19.2%)
  Processed 12544/64061 respondents (19.6%)
  Processed 12800/64061 respondents (20.0%)
  Processed 13056/64061 respondents (20.4%)
  Processed 13312/64061 respondents (20.8%)
  Processed 13568/64061 respondents (21.2%)
  Processed 13824/64061 respondents (21.6%)
  Processed 14080/64061 respondents (22.0%)
  Processed 14336/64061 respondents (22.4%)
  Processed 14592/64061 respondents (22.8%)
  Processed 14848/64061 respondents (23.2%)
  Processed 15104/64061 respondents (23.6%)
