occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WKSWRK,NOCS,COW,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140F,CTW_140G,CTW_140H,CTW_140I,EHG_ALL,KOL,TOTINC,WGHT_PER,DDAY
10000,7,5,1,5,1,46,1,5,97,6,6,2.0,6,6,6,6,6,6,6,6,6,3,1,1,616.674,1
10001,7,5,1,1,3,59,1,5,26,2,6,10.0,6,6,6,6,6,6,6,6,6,4,1,5,8516.614,1
10002,1,4,2,1,5,47,1,1,50,5,1,75.0,6,6,6,6,6,6,6,6,6,5,1,3,371.752,3
10003,3,6,2,5,1,35,1,1,52,4,2,8.0,1,2,2,2,2,2,2,2,2,4,1,2,1019.3135,1
10004,9,2,1,6,2,35,1,99,96,96,6,99.6,6,6,6,6,6,6,6,6,6,99,9,2,1916.0708,3
10005,4,1,1,6,3,35,1,1,50,8,2,50.0,1,2,2,2,2,2,2,2,2,1,1,3,1952.2015,1
10006,8,1,1,6,6,35,1,6,52,2,6,1.0,6,6,6,6,6,6,6,6,6,1,3,1,5761.5528,3
10007,6,5,2,3,1,59,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,4,466.0426,1
10008,2,2,2,1,3,24,2,1,46,5,2,32.0,1,1,2,2,2,2,2,2,2,6,2,2,2479.2991,1
10009,8,6,1,3,2,46,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,3,1436.1641,1
10010,1,3,2,1,6,11,3,1,52,2,2,40.0,1,2,2,2,2,2,2,2,2,6,1,3,284.989,1
10011,5,2,2,6,2,35,1,1,52,7,2,40.0,1,2,2,2,2,2,2,2,2,3,1,7,1000.4527,1
10012,11,2,2,1,5,35,2,1,52,5,2,30.0,1,2,2,2,2,2,2,2,2,7,1,2,1227.6668,1
10013,12,3,1,1,5,24,1,3,96,96,6,99.6,2,2,1,2,2,2,2,2,2,6,2,1,3309.1285,1
10014,2,2,2,1,3,35,1,4,22,2,6,37.5,6,6,6,6,6,6,6,6,6,4,1,3,3098.2266,1
10015,10,5,1,3,3,48,1,1,52,1,2,45.0,1,2,2,2,2,2,2,2,2,7,3,7,4877.7763,1
10016,2,7,1,1,1,46,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,7,3,3,312.6028,1
10017,8,4,1,1,4,35,1,1,52,8,2,40.0,1,2,2,2,2,2,2,2,2,6,1,3,6425.5112,3
10018,6,6,2,1,2,12,2,1,52,2,2,20.0,2,2,2,2,2,2,2,1,2,1,1,2,490.2123,1
10019,3,2,1,1,4,59,1,1,52,8,2,50.0,1,2,2,2,2,2,2,2,2,2,1,3,3085.2629,1
10020,6,7,2,3,1,59,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,2,541.1574,3
10021,8,5,2,1,2,12,1,6,52,7,6,38.0,6,6,6,6,6,6,6,6,6,6,1,2,658.337,1
10022,1,3,1,2,2,35,1,1,52,2,2,45.0,1,2,2,2,2,2,2,2,2,5,3,4,1573.5826,1
10023,12,6,2,1,2,46,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,3,2,936.0372,3
10024,8,4,2,6,1,59,1,4,12,5,6,33.0,6,6,6,6,6,6,6,6,6,4,1,2,1114.0172,2
