occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WKSWRK,NOCS,COW,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140F,CTW_140G,CTW_140H,CTW_140I,EHG_ALL,KOL,TOTINC,WGHT_PER,DDAY
10025,6,2,1,6,1,24,1,1,52,8,2,40.0,2,1,2,2,2,2,2,2,2,4,3,7,1398.974,3
10026,6,2,2,2,4,24,1,1,52,7,2,45.0,2,1,1,2,2,2,2,2,2,3,2,2,2287.9467,1
10027,5,1,1,6,4,13,1,3,96,96,6,99.6,2,2,2,1,2,2,2,2,2,1,3,1,801.5155,1
10028,9,7,1,1,2,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,4,838.4135,2
10029,1,5,2,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,3,3,1232.1785,3
10030,6,6,2,1,2,10,2,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,3,351.7384,1
10031,2,7,2,1,2,59,1,98,96,96,6,99.6,6,6,6,6,6,6,6,6,6,98,8,2,1151.6956,1
10032,8,2,1,6,1,47,1,1,52,3,2,40.0,1,2,2,2,2,2,2,2,2,4,1,4,324.5429,1
10033,5,3,2,1,4,59,1,99,96,96,6,99.6,6,6,6,6,6,6,6,6,6,99,9,4,9329.5107,1
10034,11,3,2,1,4,35,1,1,52,2,2,37.5,1,2,2,2,2,2,2,2,2,3,1,3,2393.0949,1
10035,5,4,2,1,4,24,1,1,52,2,2,15.0,1,2,2,2,2,2,2,2,2,4,3,2,4937.9511,1
10036,8,3,1,2,6,24,2,1,5,1,2,60.0,1,2,2,2,2,2,2,2,2,6,3,2,2251.7325,1
10037,9,6,1,5,1,12,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,1,372.2205,1
10038,2,6,2,1,2,13,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,3,3,294.6127,3
10039,3,3,1,1,3,59,1,1,52,3,2,40.0,7,7,7,7,7,7,7,7,7,6,1,4,1508.7606,1
10040,5,5,2,4,1,35,2,1,52,2,2,6.0,1,2,2,2,2,2,2,2,2,4,1,1,600.362,1
10041,12,3,2,1,3,35,1,2,45,7,6,40.0,6,6,6,6,6,6,6,6,6,5,1,4,1353.8178,1
10042,12,2,2,2,2,24,1,6,37,4,6,40.0,6,6,6,6,6,6,6,6,6,6,3,1,2341.709,1
10043,9,3,2,5,3,35,1,1,52,5,1,45.0,1,2,2,2,2,2,2,2,2,7,1,3,1851.5148,1
10044,5,2,2,2,5,24,1,6,52,1,2,32.5,6,6,6,6,6,6,6,6,6,6,2,4,3484.1418,1
10045,11,3,1,1,4,35,1,3,44,2,6,40.0,2,2,2,2,2,2,2,1,2,2,1,3,3128.597,1
10046,4,6,2,1,2,13,1,5,6,4,6,6.0,6,6,6,6,6,6,6,6,6,6,1,4,206.2278,1
10047,10,7,1,1,2,46,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,1,1290.539,1
10048,9,6,1,4,1,35,1,5,52,10,6,7.0,6,6,6,6,6,6,6,6,6,2,1,3,602.0894,1
10049,12,2,2,1,2,24,1,6,24,5,2,35.0,6,6,6,6,6,6,6,6,6,6,3,2,2700.6,1
10050,5,5,1,4,1,24,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,1,1695.1639,1
10051,5,4,2,1,3,48,1,1,40,5,2,30.0,2,2,2,1,2,2,2,2,2,6,3,3,4168.5353,1
10052,6,5,2,1,2,24,1,2,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,3,2,2218.6434,1
10053,3,4,2,1,4,10,1,1,52,2,2,35.0,1,1,2,2,2,2,2,2,2,6,1,2,762.7176,3
10054,8,1,2,6,1,12,1,1,52,2,1,45.0,1,2,2,2,2,2,2,2,2,6,3,3,468.8414,3
10055,8,3,2,1,4,59,1,4,52,6,6,30.0,6,6,6,6,6,6,6,6,6,2,1,1,3831.0042,3
10056,1,2,2,1,3,24,1,4,3,5,6,8.0,6,6,6,6,6,6,6,6,6,6,3,3,3433.4602,3
10057,2,4,2,1,2,11,3,1,52,4,2,37.5,1,2,2,2,2,2,2,2,2,3,1,4,338.4477,1
10058,6,4,2,6,2,12,1,1,52,10,2,40.0,6,6,6,6,6,6,6,6,6,2,1,2,696.7584,1
10059,12,1,2,6,1,13,1,3,32,7,6,52.0,2,2,2,1,2,2,2,2,2,6,1,1,130.5002,1
10060,5,5,2,1,4,47,1,1,52,5,2,60.0,2,1,2,2,2,2,2,2,2,7,1,7,2340.6098,1
10061,4,5,1,1,2,48,2,4,24,9,6,65.0,6,6,6,6,6,6,6,6,6,3,1,6,1774.7531,1
10062,2,3,2,1,2,35,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,7,3,2,914.7451,1
10063,12,1,1,6,4,10,1,3,52,2,6,1.7,2,1,2,2,2,2,2,2,2,1,3,1,1418.3628,2
10064,2,2,1,2,2,24,1,1,52,8,2,37.5,1,2,2,2,2,2,2,2,2,3,3,1,3281.4366,3
10065,1,2,2,1,3,13,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,3,1,500.3623,1
10066,12,3,1,6,1,35,1,3,96,96,6,99.6,2,2,1,1,2,2,2,2,2,6,1,1,1679.9302,1
10067,11,6,2,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,1,1416.265,1
10068,3,2,2,6,3,13,2,1,52,7,2,35.0,1,2,2,2,2,2,2,2,2,4,2,1,799.612,3
10069,3,3,2,1,3,35,1,1,52,2,2,40.0,1,2,2,2,2,2,2,2,2,6,1,5,1608.2738,1
10070,12,5,2,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,1,1062.7183,1
10071,4,6,2,3,1,13,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,3,2,285.8444,1
10072,5,5,2,1,2,59,1,1,52,1,2,60.0,2,2,2,2,2,2,2,1,2,2,1,1,300.6237,2
10073,10,7,2,1,2,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,2,2,1670.3982,2
10074,3,4,1,6,1,48,2,1,52,1,2,75.0,2,2,2,2,2,2,2,1,2,4,1,2,235.2738,3
10075,8,7,2,3,1,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,2,837.3928,3
10076,5,4,2,5,1,35,1,6,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,2,903.9809,3
10077,9,5,1,5,1,24,1,6,30,8,6,40.0,6,6,6,6,6,6,6,6,6,1,3,2,1287.0748,1
10078,7,7,2,1,3,24,1,99,96,96,6,99.6,6,6,6,6,6,6,6,6,6,99,9,1,2416.2913,2
10079,2,6,2,3,1,11,3,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,2,29.0618,1
10080,1,1,1,6,6,24,1,3,28,7,6,32.0,2,2,1,2,2,2,2,2,2,2,3,1,3804.6711,1
10081,4,6,2,5,1,48,1,1,52,2,2,24.0,1,2,2,2,2,2,2,2,2,3,1,4,1090.9245,1
10082,10,2,2,1,2,35,1,6,52,4,2,48.0,6,6,6,6,6,6,6,6,6,4,1,3,2306.819,1
10083,6,6,1,1,2,11,3,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,1,96.398,1
10084,10,6,1,1,2,10,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,3,481.1252,2
10085,4,2,1,2,3,10,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,1,699.1999,1
10086,3,3,2,1,4,35,1,4,97,2,6,99.7,6,6,6,6,6,6,6,6,6,4,1,5,1155.9379,1
10087,6,3,1,1,2,46,1,1,52,10,2,60.0,1,2,2,2,2,2,2,2,2,2,1,7,1645.9467,1
10088,11,1,1,6,1,47,2,1,52,8,2,55.0,1,2,2,2,2,2,2,2,2,3,1,5,1064.6355,2
10089,10,6,2,1,2,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,7,3,1,1811.1683,2
10090,6,2,1,6,1,35,2,1,52,3,2,40.0,1,2,2,2,2,2,2,2,2,4,1,3,1819.8142,2
10091,2,3,2,1,6,24,1,99,96,96,6,99.6,6,6,6,6,6,6,6,6,6,99,9,3,6044.3145,1
10092,1,6,2,3,1,46,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,5,450.5487,1
10093,6,3,1,1,3,35,1,1,52,10,2,40.0,1,2,2,2,2,2,2,2,2,4,1,2,2595.0806,1
10094,9,5,1,5,1,35,2,1,52,8,2,50.0,1,2,2,2,2,2,2,2,2,4,1,3,1434.1628,1
10095,9,2,2,1,2,46,1,1,52,99,2,45.0,2,2,2,2,1,2,2,2,2,99,3,3,1589.6716,1
10096,4,6,1,1,2,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,3,3,359.8295,1
10097,9,2,2,1,2,10,1,1,52,8,2,40.0,1,2,2,2,2,2,2,2,2,2,1,3,269.6709,1
10098,1,3,2,6,3,24,1,1,52,2,2,40.0,1,2,2,2,2,2,2,2,2,5,3,5,1150.7393,1
10099,3,5,2,6,1,24,1,1,52,10,2,60.0,1,2,2,2,2,2,2,2,2,1,2,3,314.8332,2
10100,3,7,1,1,2,59,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,3,1174.833,1
10101,10,3,2,1,5,47,1,4,52,2,6,5.0,6,6,6,6,6,6,6,6,6,4,1,5,1450.5603,1
10102,10,5,1,1,2,13,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,3,3,386.4499,3
10103,10,5,1,6,1,59,1,1,3,6,2,75.0,2,2,2,2,2,2,2,1,2,4,1,1,413.7423,1
10104,5,5,2,1,3,48,1,1,52,4,2,37.5,1,2,2,2,2,2,2,2,2,4,1,4,2538.5576,1
10105,10,3,1,2,4,24,1,1,52,1,2,47.5,1,2,2,2,2,2,2,2,2,7,3,7,2056.237,1
10106,1,4,1,6,1,59,1,1,52,5,2,30.0,2,2,2,2,2,2,2,1,2,7,3,1,876.9811,1
10107,8,6,1,1,2,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,1,220.4937,1
10108,2,7,1,5,1,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,2,885.2585,1
10109,4,4,2,1,3,35,1,1,52,2,2,40.0,1,2,2,2,2,2,2,2,2,2,1,3,3403.4277,1
10110,12,3,2,6,1,35,1,3,16,4,6,35.0,2,2,1,2,2,2,2,2,2,6,3,2,774.7046,1
10111,3,1,1,6,2,35,1,1,52,8,2,44.0,1,2,2,2,2,2,2,2,2,3,1,3,2205.1491,2
10112,8,2,2,1,3,12,1,1,52,5,2,40.0,1,2,2,2,2,2,2,2,2,2,1,4,2308.3992,1
10113,9,2,2,6,3,24,1,6,52,2,6,22.5,6,6,6,6,6,6,6,6,6,6,3,2,5758.03,3
10114,9,2,1,2,4,48,1,1,52,9,2,55.0,1,2,2,2,2,2,2,2,2,1,1,3,4905.3147,1
10115,10,3,1,6,1,11,3,1,52,7,2,37.0,1,2,2,2,2,2,2,2,2,4,1,2,146.0005,3
10116,2,2,1,1,2,24,1,1,52,3,2,37.5,2,2,2,2,2,2,2,2,1,6,3,3,3301.2393,1
10117,9,5,1,6,1,48,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,1,2164.0125,1
10118,5,7,2,5,1,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,3,866.9631,1
10119,2,4,2,1,3,35,1,99,96,96,6,99.6,6,6,6,6,6,6,6,6,6,99,9,7,4856.251,1
10120,2,1,2,6,4,35,1,3,96,96,6,99.6,1,2,1,2,2,2,2,2,2,2,1,1,2784.6973,1
10121,4,3,2,6,2,46,1,3,52,7,6,40.0,2,2,1,2,2,2,2,2,2,5,1,3,1936.6931,1
10122,8,3,2,6,5,35,1,1,52,5,1,44.0,1,2,2,2,2,2,2,2,2,7,1,5,2384.2,1
10123,7,6,2,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,2,1530.4722,1
10124,6,4,2,6,1,35,1,1,52,10,2,40.0,1,2,2,2,2,2,2,2,2,1,1,2,1576.7138,3
10125,10,6,2,3,3,48,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,1,1572.7476,1
10126,9,7,1,1,2,11,3,5,8,9,6,25.0,6,6,6,6,6,6,6,6,6,1,3,2,267.0993,1
10127,5,4,2,2,4,24,1,1,52,2,2,35.0,1,1,2,2,2,2,2,2,2,4,2,3,4641.578,3
10128,2,5,1,1,2,12,2,1,52,7,2,20.0,1,2,2,2,2,2,2,2,2,4,1,7,986.9666,1
10129,3,6,2,6,2,10,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,3,231.7469,1
10130,1,5,1,3,1,10,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,1,277.1538,2
10131,10,5,1,3,1,35,2,1,52,8,2,48.0,1,2,2,2,2,2,2,2,2,1,1,5,662.9621,3
10132,1,4,2,5,2,24,1,1,52,2,1,35.0,2,2,2,1,2,2,2,2,2,4,2,3,1853.1761,1
10133,6,6,2,6,1,59,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,7,1,5,1574.349,1
10134,5,3,2,1,5,24,1,1,52,2,2,55.0,1,2,2,2,2,2,2,2,2,4,2,6,3603.68,1
10135,1,4,1,6,1,35,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,1,1773.727,1
10136,12,4,1,6,2,59,1,6,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,1,1316.5229,1
10137,7,1,1,6,5,48,1,2,1,8,6,40.0,6,6,6,6,6,6,6,6,6,1,1,1,12228.8376,1
10138,11,2,1,2,2,13,1,1,52,1,1,62.0,1,2,2,2,2,2,2,2,2,7,1,1,458.1802,1
10139,8,3,2,1,4,35,1,4,44,8,6,20.0,6,6,6,6,6,6,6,6,6,4,3,1,4043.2823,3
10140,2,7,1,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,4,1804.7514,1
10141,2,4,2,1,2,13,2,1,30,5,1,47.0,1,2,2,2,2,2,2,2,2,2,3,2,534.2771,1
10142,8,4,1,1,5,35,1,1,52,8,2,60.0,1,2,2,2,2,2,2,2,2,3,1,2,7395.9139,1
10143,4,5,2,2,2,24,2,1,52,7,2,30.0,2,1,2,2,2,2,2,2,2,3,2,2,1574.9124,1
10144,4,6,2,3,5,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,3,954.8661,2
10145,2,4,2,1,2,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,3,1,1190.8282,1
10146,5,4,1,1,2,48,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,4,1363.0933,1
10147,10,6,2,1,2,46,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,1,501.9961,1
10148,2,3,2,2,3,48,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,6,1315.5643,1
10149,7,6,2,3,1,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,3,920.8832,1
10150,4,6,2,5,1,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,3,2,886.1223,1
10151,2,3,2,1,5,24,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,2,1,1078.5677,1
10152,1,7,2,3,1,59,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,2,836.2433,1
10153,12,5,1,2,2,35,1,1,48,99,9,99.9,9,9,9,9,9,9,9,9,9,99,9,7,1269.6938,3
10154,10,6,1,1,2,13,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,1,430.1119,1
10155,8,3,1,2,4,35,2,1,52,3,2,50.0,1,2,2,2,2,2,2,2,2,4,1,7,1152.7865,1
10156,3,6,2,1,2,35,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,1,1384.1428,1
10157,3,6,2,1,2,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,2,1,2076.279,1
10158,1,6,2,5,1,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,7,1,3,175.451,2
10159,2,3,1,2,2,59,1,1,52,9,2,55.0,1,2,2,2,2,2,2,2,2,4,1,7,1508.8884,1
10160,1,5,1,1,1,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,3,670.5053,1
10161,7,3,1,6,1,35,1,1,52,4,2,65.0,2,2,2,1,2,2,2,2,2,7,1,4,922.165,2
10162,6,2,1,6,3,59,1,1,52,10,2,40.0,1,2,2,2,2,2,2,2,2,2,1,3,2005.4231,1
10163,6,3,1,6,1,12,2,1,52,3,2,40.0,1,2,2,2,2,2,2,2,2,4,1,3,1032.9215,1
10164,2,5,1,1,2,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,3,5,2104.3475,1
10165,8,5,2,3,1,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,5,1,4,703.1069,1
10166,2,3,2,1,4,12,1,1,52,1,2,40.0,1,2,2,2,2,2,2,2,2,6,1,5,326.4761,1
10167,9,3,2,6,1,13,2,1,50,8,2,40.0,1,2,2,2,2,2,2,2,2,3,1,1,426.8532,2
10168,10,4,2,1,4,35,1,1,52,5,2,40.0,1,2,2,2,2,2,2,2,2,7,1,5,2977.2036,1
10169,3,7,2,3,1,48,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,2,428.4084,1
10170,6,6,1,3,1,11,3,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,3,110.2824,1
10171,3,5,1,1,3,24,1,1,52,7,2,60.0,1,2,2,2,2,2,2,2,2,2,3,5,1471.6606,1
10172,7,5,2,1,2,11,3,1,52,7,2,45.0,1,2,2,2,2,2,2,2,2,5,1,2,257.1461,1
10173,5,7,1,1,1,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,3,4,1031.4663,2
10174,12,7,1,4,1,24,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,2,2,673.6787,1
10175,1,6,2,3,1,12,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,5,1,7,193.3656,1
10176,6,3,1,6,1,24,1,1,52,5,1,44.0,2,2,2,1,1,2,2,2,2,6,3,3,1378.9298,3
10177,11,4,1,5,1,59,1,1,52,8,2,42.0,1,1,2,2,2,2,2,2,2,3,1,3,1015.3129,1
10178,9,2,2,1,4,35,1,6,40,5,2,40.0,6,6,6,6,6,6,6,6,6,6,1,2,4173.5329,1
10179,5,1,1,6,5,35,1,3,96,96,6,99.6,2,1,2,2,2,2,2,2,2,3,1,1,1466.2727,1
10180,1,6,2,3,1,11,3,5,1,7,6,5.0,6,6,6,6,6,6,6,6,6,1,1,1,36.0808,2
10181,9,3,1,1,3,48,2,1,52,8,2,75.0,2,2,2,2,2,2,2,2,1,4,1,5,1732.8287,2
10182,8,4,2,1,4,13,1,1,52,5,2,30.0,1,2,2,2,2,2,2,2,2,2,1,1,568.1586,3
10183,7,6,2,5,1,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,3,702.0062,2
10184,10,2,1,2,2,35,1,1,52,4,1,60.0,1,1,2,2,2,2,2,2,2,6,1,3,3608.4084,1
10185,4,6,2,1,3,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,3,2862.903,1
10186,4,3,2,1,3,35,1,1,52,2,2,40.0,1,2,2,2,2,2,2,2,2,7,1,7,2510.6135,1
10187,3,2,2,1,5,59,1,1,52,5,2,40.0,1,2,2,2,2,2,2,2,2,5,1,5,865.0296,1
10188,10,6,1,1,2,35,1,5,52,6,6,43.0,6,6,6,6,6,6,6,6,6,5,1,2,1776.4041,1
10189,2,6,1,1,2,13,1,1,52,8,2,40.0,1,2,2,2,2,2,2,2,2,3,1,3,208.7342,1
10190,6,4,1,6,1,47,1,1,52,7,2,33.0,1,2,2,2,2,2,2,2,2,3,1,3,1989.1039,1
10191,3,1,1,6,3,10,1,3,96,96,6,99.6,2,1,2,2,2,2,2,2,2,1,1,1,947.1816,3
10192,2,6,1,1,2,10,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,2,547.689,2
10193,9,7,1,6,1,48,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,3,1794.5891,1
10194,12,4,2,6,1,59,1,1,10,2,2,35.0,1,2,2,2,2,2,2,2,2,1,1,2,677.2302,1
10195,10,6,2,1,2,47,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,1,1008.6786,2
10196,9,5,2,1,2,47,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,5,1,3,402.7737,1
10197,2,6,1,1,1,10,2,1,41,8,2,25.0,2,2,2,1,2,2,2,2,2,3,1,2,214.8037,1
10198,2,2,1,2,2,35,1,1,52,3,2,40.0,2,2,2,1,2,2,2,2,2,5,3,7,2520.928,1
10199,8,4,1,1,4,10,2,2,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,7,282.5915,1
10200,11,4,2,5,2,35,1,1,52,5,2,40.0,1,2,2,2,2,2,2,2,2,7,1,4,1717.5339,1
10201,1,5,2,2,2,24,1,1,52,2,2,35.0,1,2,2,2,2,2,2,2,2,6,3,4,1417.0915,2
10202,2,3,2,1,6,10,2,1,35,7,2,40.0,1,2,2,2,2,2,2,2,2,5,1,2,707.3198,2
10203,11,2,1,6,1,35,1,1,52,7,2,40.0,2,2,1,2,2,2,2,2,2,7,1,2,1093.3682,1
10204,1,7,2,3,1,11,3,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,2,57.3323,1
10205,1,1,1,6,2,10,2,3,8,6,6,40.0,1,2,2,2,2,2,2,2,2,2,1,1,1278.4576,1
10206,9,7,2,3,1,11,3,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,1,93.6016,1
10207,7,5,2,1,2,13,2,1,52,7,1,25.0,1,2,2,2,2,2,2,2,2,1,3,1,527.1729,1
10208,12,5,2,1,4,48,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,6,1,2,5742.3822,1
10209,8,6,1,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,3,1948.9821,2
10210,7,2,1,6,1,13,1,1,52,2,2,37.5,2,2,2,1,2,2,2,2,2,4,1,2,805.9053,1
10211,7,5,2,1,2,46,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,2,1737.3387,1
10212,2,2,1,6,1,24,1,1,52,2,2,35.0,1,2,2,2,2,2,2,2,2,2,3,3,1719.9564,2
10213,1,3,2,6,1,35,1,1,52,4,1,38.0,2,2,1,2,2,2,1,2,2,4,1,5,587.3883,1
10214,2,5,1,2,3,24,2,1,51,8,2,45.0,1,2,2,2,2,2,2,2,2,2,2,3,3457.0344,1
10215,4,6,2,1,2,48,2,6,96,96,6,99.6,6,6,6,6,6,6,6,6,6,4,1,2,683.7977,1
10216,5,6,1,1,2,35,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,5,1,3,1210.6764,1
10217,7,4,1,5,1,35,1,1,52,9,2,40.0,1,2,2,2,2,2,2,2,2,2,1,3,1069.5601,3
10218,6,3,1,1,2,59,1,1,52,3,2,40.0,9,9,9,9,9,9,9,9,9,2,1,6,1643.6214,3
10219,3,6,1,1,2,12,2,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,1,2,1823.4557,1
10220,2,2,2,6,2,47,1,1,52,2,2,40.0,1,2,2,2,2,2,2,2,2,6,1,3,1145.9842,1
10221,7,4,2,5,1,13,1,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,1,1,1,269.042,1
10222,12,6,2,1,2,24,2,4,96,96,6,99.6,6,6,6,6,6,6,6,6,6,2,2,1,1841.3035,1
10223,2,6,1,6,1,24,1,1,52,2,2,55.0,1,2,2,2,2,2,2,2,2,2,2,4,802.643,1
10224,1,7,2,5,1,24,1,5,96,96,6,99.6,6,6,6,6,6,6,6,6,6,3,1,3,980.9454,2
10225,10,5,2,5,1,35,1,1,52,5,1,39.5,1,2,2,2,2,2,2,2,2,7,3,4,921.416,2
