HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2011,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
77651,776511,7765111,77651111,1,4,2,3,1,88,7,66000,10,1,2,5,1,2,3,1,1,2,1,1,1,4,13000,35,210000,2,6,2,5,5,5,6555571c,90744,5537,3_Constraints,2273,4_FailSafe
82986,829861,8298611,82986113,2,1,2,3,2,13,7,13000,5,3,8,1,2,4,10,0,1,2,1,2,1,4,0,24,230000,1,3,2,5,5,5,231d5987,90744,9614,3_Constraints,3121,4_FailSafe
123245,1232451,12324511,123245112,2,2,2,1,1,7,1,95000,11,3,4,8,1,1,10,0,4,1,1,2,1,5,21000,59,190000,2,5,2,2,2,2,2bcf88db,90744,182,3_Constraints,13044,3_Constraints
80265,802651,8026511,80265112,2,3,1,1,1,9,5,83000,11,3,7,2,1,2,5,0,4,1,1,2,1,7,13000,35,200000,1,4,6,5,5,5,3b5ad1fb,90744,10945,2_Core,14538,2_Core
77661,776611,7766111,77661111,2,3,1,1,1,5,2,21000,6,3,5,1,1,2,7,0,4,1,1,1,1,5,2000,10,90000,1,5,2,4,4,4,76af31a6,90751,15326,2_Core,602,2_Core
95142,951421,9514211,95142113,2,2,2,1,1,13,10,34000,7,4,9,1,2,4,3,0,4,1,1,2,1,4,5000,10,120000,2,5,2,3,3,3,270d680f,90751,2308,3_Constraints,3228,3_Constraints
77691,776911,7769111,77691111,2,3,2,1,1,13,8,87000,11,4,11,1,1,2,4,0,4,1,1,1,1,5,23000,46,9999999,1,6,2,6,6,6,62bd8b10,90772,486,3_Constraints,7001,3_Constraints
73815,738151,7381511,73815112,2,3,2,1,1,13,5,75000,10,3,8,2,1,2,7,0,4,1,1,2,1,4,25000,10,180000,1,5,2,3,3,3,88e3f2b8,90772,4554,2_Core,5383,3_Constraints
98469,984691,9846911,98469112,2,7,1,1,1,88,99,40000,8,3,8,1,1,1,2,0,4,1,1,2,1,8,5000,35,300000,2,5,8,4,4,2,f9cd5270,90772,15208,4_FailSafe,6814,4_FailSafe
109656,1096561,10965611,109656112,2,7,2,1,1,3,99,0,6,3,8,1,1,1,6,0,1,3,4,2,9,9,1,35,692840,1,0,9,2,2,2,4b97445c,90772,14948,3_Constraints,11820,3_Constraints
10205,102051,1020511,10205114,2,1,2,1,2,13,7,4000,2,3,10,1,2,4,6,0,4,1,3,2,1,5,0,24,459390,3,0,2,5,5,5,17f87be1,90772,9614,3_Constraints,627,4_FailSafe
77784,777841,7778412,77784122,1,3,2,1,1,88,8,22000,6,4,6,1,1,2,5,0,1,3,1,1,5,2,0,48,350000,1,5,2,5,5,4,3481df7c,90840,14226,3_Constraints,627,3_Constraints
91304,913041,9130411,91304113,2,1,1,1,2,13,7,6000,3,3,8,1,2,4,9,0,4,1,2,2,1,5,0,35,692840,1,0,2,3,3,3,fe162d39,90840,9785,3_Constraints,3199,3_Constraints
31141,311411,3114112,31141123,1,7,1,1,1,10,4,30000,7,5,11,1,1,2,6,0,4,1,1,2,1,8,7000,48,450000,1,1,8,4,4,3,1744f6b7,90840,9399,4_FailSafe,8249,4_FailSafe
21882,218821,2188211,21882112,1,3,1,1,1,13,2,58000,9,4,10,4,1,2,4,0,4,1,1,2,1,4,9000,48,480000,2,5,2,4,4,4,8f82bf6d,90840,15209,3_Constraints,12176,3_Constraints
41050,410501,4105011,41050113,2,2,2,1,1,13,7,10000,4,3,8,1,2,4,1,0,4,1,1,2,1,6,0,35,150000,1,2,2,3,3,3,3c660e22,90856,11880,2_Core,219,3_Constraints
48736,487361,4873611,48736115,2,1,1,1,2,13,7,2000,2,4,8,1,2,4,6,0,4,1,1,2,1,4,0,35,200000,1,1,5,5,5,5,e3e3b084,90856,10457,3_Constraints,1051,3_Constraints
54106,541061,5410611,54106112,2,7,2,1,1,8,1,2000,6,3,5,1,1,1,4,0,3,1,2,2,5,1,0,48,9999999,1,0,9,2,2,2,04684169,90856,14948,3_Constraints,11820,3_Constraints
77849,778491,7784911,77849111,2,3,1,1,1,13,7,21000,6,3,6,1,1,2,9,0,1,2,1,1,1,4,1000,35,320000,1,5,2,5,5,5,09587be0,90888,10945,2_Core,9309,2_Core
81979,819791,8197911,81979113,1,1,2,1,2,13,8,27000,6,3,9,1,2,4,5,0,4,1,4,2,1,2,3000,59,900000,1,0,2,3,3,3,b9bd686a,90888,8377,3_Constraints,521,3_Constraints
112225,1122251,11222512,112225124,2,6,1,1,1,13,2,3000,7,3,9,1,1,1,5,0,4,1,1,2,6,4,3000,10,130000,2,3,7,4,4,2,b6c34246,90888,2659,3_Constraints,4935,4_FailSafe
8564,85641,856411,8564112,2,4,1,1,1,5,2,11000,5,3,6,1,1,1,4,0,4,1,1,2,1,5,1000,35,230000,2,3,2,2,2,2,801262d1,90888,2281,2_Core,3350,2_Core
56651,566511,5665111,56651112,2,6,2,1,1,13,99,0,6,4,10,1,1,1,5,0,4,1,4,2,9,9,1,10,387179,1,0,9,2,2,2,4aec5a47,90888,998,2_Core,6669,3_Constraints
