HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP2011,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
665,6651,66511,665111,1,6,1,3,1,2,99,1,5,1,5,6,3,6,2,0,4,1,4,3,9,9,1,24,9999999,1,0,9,1,1,1,3966371c,283,13948,3_Constraints,10706,4_FailSafe
711,7111,71111,711111,1,6,2,1,1,13,99,0,6,1,4,6,3,6,3,0,4,1,4,3,9,9,1,35,9999999,1,0,9,1,1,1,7488849b,289,11913,3_Constraints,10706,4_FailSafe
863,8631,86311,863111,1,3,1,3,1,4,5,68000,10,1,4,6,2,6,5,0,4,1,1,3,1,1,13000,48,9999999,1,6,9,1,1,1,216d904d,329,2482,4_FailSafe,10706,4_FailSafe
1240,12401,124011,1240111,2,4,2,1,1,8,99,0,2,1,3,1,2,6,3,0,4,1,4,3,9,9,0,10,80000,2,0,9,1,1,1,8293e6e4,431,4245,3_Constraints,10706,3_Constraints
2138,21381,213811,2138111,1,5,2,1,1,6,1,0,6,1,4,6,2,6,3,0,4,1,2,3,5,1,0,35,9999999,1,0,9,1,1,1,555c6920,657,14557,3_Constraints,10493,3_Constraints
2215,22151,221511,2215111,1,5,1,1,1,13,99,0,6,2,4,4,3,6,6,0,4,1,4,3,9,9,1000,59,490000,2,0,9,1,1,1,3b71fb6b,682,1235,3_Constraints,12746,3_Constraints
2458,24581,245811,2458111,1,6,1,2,1,13,99,0,6,2,4,5,3,6,6,0,4,1,4,3,9,9,1,24,9999999,1,0,9,1,1,1,133997ca,741,13948,3_Constraints,11649,4_FailSafe
3471,34711,347111,3471111,1,2,1,2,1,13,4,39000,7,3,5,6,2,6,3,0,1,2,3,3,1,4,5000,24,1,2,0,6,1,1,1,126e7ad8,988,5555,3_Constraints,14708,4_FailSafe
3502,35021,350211,3502111,2,5,1,3,1,13,99,0,4,0,1,5,3,6,6,0,4,1,4,3,9,9,0,59,9999999,1,0,9,1,1,1,b5527ba3,998,1235,3_Constraints,12746,3_Constraints
3823,38231,382311,3823111,2,3,1,1,2,13,7,18000,6,1,3,5,2,6,5,0,4,1,1,3,1,4,3000,46,9999999,1,4,6,1,1,1,0cc002ec,1083,13842,4_FailSafe,11649,4_FailSafe
5801,58011,580111,5801111,1,5,1,2,1,13,99,0,4,1,4,6,2,6,3,0,4,1,4,3,9,9,1,24,9999999,1,0,9,1,1,1,037c556a,1591,1235,3_Constraints,12746,3_Constraints
6108,61081,610811,6108111,1,3,1,3,1,13,7,47000,8,2,4,6,2,6,10,1,4,1,1,3,1,4,8000,48,250000,1,5,2,1,1,1,f93fa82c,1672,13886,4_FailSafe,10493,4_FailSafe
