[SECTION] Annual Energy Demand Metrics (Aggregated)
Category,Scenario,Mean(kWh/m2),StdDev,CI_Lower,CI_Upper
Heating,Winter,Weekend,23,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,0,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,1,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,2,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,3,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,4,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,5,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,6,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,7,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,8,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,9,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,10,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,11,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,12,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,13,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,14,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,15,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,16,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,17,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,18,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,19,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,20,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,21,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,22,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekday,23,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,0,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,1,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,2,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,3,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,4,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,5,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,6,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,7,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,8,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,9,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,10,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,11,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,12,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,13,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,14,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,15,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,16,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,17,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,18,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,19,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,20,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,21,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,22,0.0000,0.0000,0.0000,0.0000
Heating,Summer,Weekend,23,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,0,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,1,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,2,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,3,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,4,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,5,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,6,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,7,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,8,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,9,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,10,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,11,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,12,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,13,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,14,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,15,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,16,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,17,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,18,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,19,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,20,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,21,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,22,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekday,23,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,0,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,1,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,2,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,3,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,4,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,5,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,6,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,7,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,8,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,9,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,10,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,11,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,12,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,13,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,14,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,15,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,16,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,17,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,18,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,19,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,20,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,21,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,22,0.0000,0.0000,0.0000,0.0000
Cooling,Winter,Weekend,23,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,0,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,1,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,2,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,3,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,4,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,5,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,6,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,7,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,8,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,9,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,10,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,11,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,12,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,13,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,14,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,15,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,16,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,17,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,18,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,19,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,20,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,21,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,22,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekday,23,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,0,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,1,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,2,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,3,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,4,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,5,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,6,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,7,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,8,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,9,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,10,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,11,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,12,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,13,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,14,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,15,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,16,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,17,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,18,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,19,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,20,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,21,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,22,0.0000,0.0000,0.0000,0.0000
Cooling,Summer,Weekend,23,0.0000,0.0000,0.0000,0.0000

[SECTION] Peak Load Characteristics
Category,Scenario,Peak_Load(W/m2),Peak_Time
Heating,2025,N/A,N/A
Heating,2015,N/A,N/A
Heating,2005,N/A,N/A
Heating,Default,N/A,N/A
Cooling,2025,N/A,N/A
Cooling,2015,N/A,N/A
Cooling,2005,N/A,N/A
Cooling,Default,N/A,N/A

