HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
94599,945991,9459911,945991101,2,6,2,1,1,8,8,4000,3,2,3,1,2,1,2,0,3,1,1,1,3,2,0,48,170000,1,1,2,2,2,2,0817d83e,93570,18109.0,3_Constraints,13474.0,3_Constraints
32620,326201,3262011,326201101,1,5,2,1,1,8,8,48000,9,2,2,1,1,5,1,0,1,3,1,3,1,5,8000,48,380000,2,5,2,1,1,1,e3b7c3ed,9843,2938.0,3_Constraints,15704.0,3_Constraints
115572,1155721,11557211,1155721101,1,2,2,1,1,4,10,77000,10,2,2,2,2,1,1,9,2,1,1,1,1,4,15000,35,0,1,5,7,2,2,2,0c3b05f3,106147,868.0,2_Core,6576.0,2_Core
22761,227611,2276111,227611101,1,6,1,2,1,13,99,0,3,2,2,2,2,1,2,9,1,2,4,1,9,9,0,24,0,1,0,9,2,2,2,8effc3d6,50739,5079.0,3_Constraints,4541.0,3_Constraints
115110,1151101,11511011,1151101101,2,5,2,1,1,13,1,32000,7,2,3,1,2,1,1,9,3,1,1,1,1,4,1000,35,0,3,6,2,3,3,3,3882e132,105851,16042.0,3_Constraints,12316.0,3_Constraints
32042,320421,3204211,320421101,1,7,1,1,1,13,99,0,8,1,1,2,3,5,2,9,4,1,4,3,9,9,2000,35,0,1,0,9,1,1,1,43703a01,9664,11724.0,3_Constraints,429.0,3_Constraints
17885,178851,1788511,178851102,1,4,1,1,1,5,1,26000,6,2,4,1,2,1,3,0,1,2,1,2,1,4,1,35,430000,1,5,2,4,4,4,79559b7d,89835,11065.0,3_Constraints,16594.0,3_Constraints
44314,443141,4431411,443141102,2,5,1,3,1,13,99,0,2,2,2,1,2,1,1,0,4,1,4,2,9,9,0,35,80000,3,0,9,2,2,2,23a77b9f,85485,4587.0,3_Constraints,10254.0,3_Constraints
21703,217031,2170311,217031102,1,3,1,2,1,13,99,0,4,2,2,2,1,1,1,9,4,1,4,2,9,9,0,24,0,1,0,9,2,2,2,07a9202d,96611,3430.0,3_Constraints,16766.0,3_Constraints
79257,792571,7925711,792571101,2,3,2,1,1,8,3,513993,12,3,4,1,2,1,3,0,4,1,1,1,1,5,54000,46,536203,1,8,2,2,2,2,74745f10,84324,9160.0,3_Constraints,10517.0,3_Constraints
