occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WKSWRK,NOCS,COW,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140F,CTW_140G,CTW_140H,CTW_140I,EHG_ALL,KOL,TOTINC,WGHT_PER,DDAY,HRSWRK_RAW,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
17844,12,3,1,2,4,13,1,3,51,8,,8.0,6,6,6,6,6,6,6,6,6,3,1.0,5,366.0856,3,70.0,6,SELF,2015,2015,0,1,STANDARD_BS
17845,4,5,2,4,1,11,3,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,1,77.1872,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17846,10,6,1,3,1,47,2,3,,,,,6,6,6,6,6,6,6,6,6,1,1.0,2,230.8226,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17847,10,5,2,1,2,11,3,3,,,,,6,6,6,6,6,6,6,6,6,3,1.0,1,141.5154,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17848,10,3,2,6,2,46,2,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,4,758.8469,1,99.6,4,SELF,2015,2015,0,1,STANDARD_BS
17849,7,6,2,5,1,24,1,3,,,,,6,6,6,6,6,6,6,6,6,2,2.0,2,696.4616,3,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17850,2,5,1,5,1,10,1,3,,,,,6,6,6,6,6,6,6,6,6,3,1.0,1,192.1901,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17851,2,6,1,1,2,24,1,3,,,,,6,6,6,6,6,6,6,6,6,3,2.0,1,1468.7917,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
17852,3,5,2,2,2,35,1,1,32,5,1,1.0,1,2,2,2,2,2,2,2,2,7,1.0,2,1377.8235,1,5.0,2,SELF,2015,2015,0,1,STANDARD_BS
17853,7,3,1,1,4,47,1,1,52,2,1,4.0,1,2,2,2,2,2,2,2,2,6,1.0,5,952.1356,2,40.0,7,SELF,2015,2015,0,1,STANDARD_BS
17854,9,6,1,5,1,24,1,3,,,,,6,6,6,6,6,6,6,6,6,3,2.0,2,814.7067,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17855,4,6,1,1,2,35,1,3,,,,,6,6,6,6,6,6,6,6,6,2,1.0,2,1696.62,1,99.6,2,SELF,2015,2015,0,1,STANDARD_BS
17856,4,5,2,5,1,59,1,3,12,7,,1.0,6,6,6,6,6,6,6,6,6,2,1.0,1,985.2015,1,24.0,1,SELF,2015,2015,0,1,STANDARD_BS
17857,7,6,2,5,1,59,1,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,5,661.7905,1,99.6,5,SELF,2015,2015,0,1,STANDARD_BS
17858,6,4,2,5,4,47,1,3,,,,,6,6,6,6,6,6,6,6,6,4,1.0,1,2364.628,1,99.6,1,SELF,2015,2015,0,1,STANDARD_BS
