occID,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,WKSWRK,WGHT_PER,DDAY,KOL,LFTAG,TOTINC,EDU10,HRSWRK,COW,HRSWRK_RAW,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,SURVMNTH,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
3221.0,4.0,2.0,5.0,2.0,2.0,1.0,52.0,770.9245665289553,1.0,2.0,1,4.0,2.0,4.0,1.0,40.0,10.0,SELF,2005,2005,,0,0,MEAN_BS
3944.0,3.0,1.0,1.0,3.0,2.0,2.0,52.0,3072.774489629455,1.0,2.0,1,2.0,4.0,5.0,2.0,45.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
5106.0,3.0,1.0,2.0,2.0,2.0,1.0,52.0,782.6415139583969,3.0,2.0,1,3.0,3.0,4.0,1.0,40.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
4532.0,3.0,2.0,1.0,4.0,2.0,1.0,52.0,2475.516061673902,3.0,2.0,1,,6.0,4.0,1.0,40.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
3436.0,4.0,1.0,1.0,3.0,2.0,1.0,48.0,2602.312511545213,3.0,2.0,1,5.0,2.0,3.0,1.0,35.0,11.0,SELF,2005,2005,,0,0,MEAN_BS
2109.0,5.0,2.0,1.0,2.0,2.0,1.0,,1716.3661755570697,1.0,1.0,3,1.0,8.0,,,97.0,5.0,SELF,2005,2005,,0,0,MEAN_BS
11625.0,5.0,2.0,5.0,1.0,2.0,1.0,52.0,737.1000801896264,1.0,2.0,1,,99.0,1.0,2.0,7.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
11405.0,7.0,2.0,1.0,2.0,2.0,1.0,,2446.844732556718,2.0,,3,,2.0,,,97.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
13209.0,4.0,1.0,6.0,1.0,2.0,2.0,,856.0471753662688,1.0,1.0,3,1.0,9.0,,,97.0,3.0,SELF,2005,2005,,0,0,MEAN_BS
3915.0,5.0,2.0,5.0,1.0,2.0,1.0,52.0,840.0795763047269,3.0,2.0,1,3.0,4.0,3.0,1.0,38.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
5281.0,3.0,1.0,5.0,3.0,2.0,1.0,52.0,1966.8583660124389,1.0,2.0,1,3.0,3.0,4.0,1.0,40.0,9.0,SELF,2005,2005,,0,0,MEAN_BS
17760.0,5.0,1.0,2.0,2.0,2.0,1.0,52.0,2256.205222069164,1.0,2.0,1,4.0,2.0,3.0,1.0,35.0,10.0,SELF,2005,2005,,0,0,MEAN_BS
9382.0,4.0,2.0,4.0,1.0,2.0,1.0,52.0,607.8377664304336,1.0,3.0,1,2.0,8.0,4.0,1.0,40.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
11657.0,1.0,1.0,6.0,1.0,2.0,1.0,6.0,1130.6571145235168,3.0,3.0,1,1.0,8.0,4.0,1.0,40.0,2.0,SELF,2005,2005,,0,0,MEAN_BS
12230.0,1.0,2.0,6.0,4.0,2.0,1.0,14.0,3352.702570388854,1.0,2.0,2,1.0,5.0,,,97.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
13834.0,5.0,1.0,1.0,2.0,2.0,2.0,,1803.8169107033543,1.0,2.0,3,,9.0,,,97.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
8135.0,5.0,2.0,1.0,2.0,2.0,1.0,,1511.530699994267,1.0,2.0,1,,4.0,1.0,2.0,5.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
1763.0,7.0,2.0,3.0,1.0,2.0,1.0,,656.5724281772013,1.0,2.0,3,1.0,10.0,,,97.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
9597.0,1.0,2.0,6.0,4.0,2.0,1.0,16.0,940.9981222746784,1.0,2.0,2,1.0,9.0,,,97.0,2.0,SELF,2005,2005,,0,0,MEAN_BS
10025.0,2.0,1.0,6.0,1.0,2.0,1.0,52.0,1007.1521322916826,3.0,2.0,1,1.0,3.0,2.0,1.0,33.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
18248.0,4.0,2.0,1.0,2.0,2.0,1.0,52.0,1322.8051643888048,1.0,2.0,1,3.0,3.0,1.0,1.0,25.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
500.0,4.0,1.0,1.0,4.0,2.0,1.0,52.0,1946.3047158969543,1.0,2.0,1,3.0,2.0,1.0,1.0,28.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
2897.0,1.0,1.0,6.0,3.0,2.0,1.0,,817.6335721072795,1.0,2.0,2,,9.0,,,97.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
2283.0,3.0,2.0,2.0,2.0,2.0,1.0,45.0,1082.072898206106,1.0,2.0,3,2.0,2.0,,,97.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
8956.0,3.0,2.0,1.0,4.0,2.0,1.0,20.0,1495.2735965882518,2.0,2.0,1,1.0,2.0,1.0,2.0,25.0,3.0,SELF,2005,2005,,0,0,MEAN_BS
18436.0,7.0,1.0,4.0,1.0,2.0,1.0,,1943.594585986277,1.0,2.0,3,2.0,10.0,,,97.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
13953.0,3.0,1.0,1.0,3.0,2.0,1.0,49.0,1889.6358132155872,1.0,3.0,1,2.0,1.0,1.0,1.0,7.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
15832.0,5.0,1.0,1.0,2.0,2.0,2.0,,1531.3994351560236,1.0,1.0,2,2.0,4.0,,,97.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
14163.0,1.0,2.0,6.0,3.0,2.0,1.0,52.0,2499.4205984201953,3.0,2.0,1,1.0,5.0,1.0,1.0,10.0,3.0,SELF,2005,2005,,0,0,MEAN_BS
5848.0,2.0,2.0,5.0,2.0,2.0,2.0,51.0,900.9428682165908,2.0,2.0,1,2.0,3.0,4.0,1.0,40.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
4194.0,5.0,1.0,6.0,1.0,2.0,1.0,44.0,571.8104244929461,1.0,2.0,1,3.0,1.0,4.0,1.0,40.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
1384.0,5.0,2.0,6.0,1.0,2.0,1.0,,696.5265137576329,1.0,2.0,3,,8.0,,,97.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
10595.0,3.0,2.0,1.0,5.0,2.0,1.0,,2604.769817166481,1.0,3.0,3,,9.0,,,97.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
13583.0,1.0,1.0,6.0,3.0,2.0,1.0,52.0,3447.52794536565,1.0,2.0,1,1.0,3.0,1.0,1.0,18.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
9799.0,3.0,2.0,5.0,2.0,2.0,1.0,48.0,1734.1726304265878,3.0,2.0,1,2.0,3.0,3.0,1.0,38.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
14517.0,2.0,1.0,2.0,2.0,2.0,1.0,49.0,3008.078907081893,3.0,2.0,1,3.0,4.0,6.0,2.0,50.0,9.0,SELF,2005,2005,,0,0,MEAN_BS
19080.0,2.0,1.0,6.0,1.0,2.0,1.0,52.0,1242.0619454903172,1.0,2.0,1,2.0,8.0,3.0,1.0,35.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
11100.0,1.0,2.0,6.0,2.0,2.0,1.0,12.0,1392.0997614492403,1.0,2.0,1,,9.0,2.0,1.0,30.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
6801.0,2.0,1.0,2.0,2.0,2.0,2.0,48.0,2414.0860010317224,1.0,2.0,1,3.0,4.0,6.0,1.0,50.0,9.0,SELF,2005,2005,,0,0,MEAN_BS
16349.0,2.0,2.0,5.0,3.0,2.0,2.0,52.0,858.6121720555586,1.0,2.0,1,1.0,4.0,3.0,1.0,36.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
42.0,6.0,1.0,4.0,1.0,2.0,1.0,52.0,1035.5232560001773,1.0,2.0,1,2.0,9.0,8.0,1.0,75.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
3888.0,3.0,1.0,2.0,4.0,2.0,2.0,52.0,2773.1436032181955,1.0,1.0,1,3.0,4.0,4.0,1.0,40.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
4432.0,5.0,2.0,1.0,1.0,2.0,1.0,52.0,787.4757736499607,2.0,2.0,1,,8.0,3.0,1.0,39.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
13666.0,3.0,1.0,1.0,1.0,2.0,1.0,52.0,973.760759801878,1.0,2.0,1,3.0,9.0,3.0,1.0,35.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
3286.0,7.0,2.0,1.0,3.0,2.0,1.0,,3519.38926963771,2.0,1.0,3,1.0,7.0,,,97.0,3.0,SELF,2005,2005,,0,0,MEAN_BS
14306.0,4.0,2.0,5.0,2.0,2.0,1.0,52.0,691.1686823635805,1.0,2.0,1,1.0,3.0,4.0,1.0,42.0,5.0,SELF,2005,2005,,0,0,MEAN_BS
5592.0,5.0,2.0,6.0,1.0,2.0,1.0,,687.936974054763,2.0,2.0,3,1.0,8.0,,,97.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
5432.0,5.0,2.0,4.0,1.0,2.0,1.0,,612.457585476703,1.0,2.0,3,3.0,1.0,,,97.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
12458.0,6.0,2.0,1.0,3.0,2.0,1.0,,2283.152540895565,1.0,2.0,3,,9.0,,,97.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
8266.0,1.0,1.0,6.0,2.0,2.0,1.0,12.0,1788.7738938094503,3.0,2.0,2,1.0,5.0,,,97.0,2.0,SELF,2005,2005,,0,0,MEAN_BS
6130.0,6.0,2.0,6.0,1.0,2.0,1.0,,602.2960213065729,1.0,2.0,3,,8.0,,,97.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
9649.0,3.0,2.0,5.0,1.0,2.0,1.0,52.0,721.9834154613354,2.0,3.0,1,1.0,2.0,6.0,1.0,50.0,2.0,SELF,2005,2005,,0,0,MEAN_BS
5791.0,2.0,1.0,2.0,3.0,2.0,1.0,50.0,1979.1363547022916,1.0,2.0,1,2.0,4.0,4.0,1.0,42.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
12836.0,4.0,2.0,1.0,3.0,2.0,1.0,40.0,2556.863687416461,1.0,2.0,1,,9.0,8.0,1.0,75.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
7261.0,2.0,2.0,1.0,4.0,2.0,1.0,20.0,1411.0820678135794,1.0,3.0,2,1.0,2.0,,,97.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
12521.0,2.0,2.0,1.0,2.0,2.0,1.0,52.0,1390.2345012022583,1.0,3.0,1,2.0,3.0,3.0,1.0,35.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
9488.0,1.0,1.0,6.0,4.0,2.0,1.0,52.0,3374.235282874052,1.0,2.0,1,2.0,9.0,3.0,1.0,38.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
4757.0,5.0,1.0,1.0,4.0,2.0,1.0,52.0,3053.905659640613,1.0,2.0,1,5.0,1.0,8.0,2.0,75.0,12.0,SELF,2005,2005,,0,0,MEAN_BS
3266.0,2.0,2.0,2.0,4.0,2.0,1.0,52.0,1554.2937168637568,2.0,2.0,1,2.0,3.0,3.0,1.0,35.0,7.0,SELF,2005,2005,,0,0,MEAN_BS
529.0,5.0,1.0,6.0,1.0,2.0,1.0,28.0,886.0204365157884,1.0,2.0,3,,2.0,,,97.0,99.0,SELF,2005,2005,,0,0,MEAN_BS
2445.0,2.0,2.0,1.0,4.0,2.0,1.0,40.0,1457.9026015266434,1.0,2.0,1,1.0,3.0,1.0,1.0,20.0,3.0,SELF,2005,2005,,0,0,MEAN_BS
2732.0,5.0,2.0,4.0,1.0,2.0,1.0,28.0,546.6034858530805,1.0,2.0,3,3.0,8.0,,,97.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
6560.0,6.0,1.0,2.0,2.0,2.0,1.0,,1645.1327598515743,1.0,2.0,3,3.0,2.0,,,97.0,8.0,SELF,2005,2005,,0,0,MEAN_BS
2121.0,4.0,1.0,6.0,1.0,2.0,1.0,52.0,877.5323095218199,1.0,2.0,1,2.0,8.0,4.0,1.0,40.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
17648.0,6.0,1.0,1.0,2.0,2.0,2.0,26.0,1958.1006343805705,3.0,2.0,1,2.0,10.0,7.0,2.0,55.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
7260.0,5.0,2.0,1.0,2.0,2.0,1.0,52.0,1604.1118972784864,1.0,2.0,1,3.0,8.0,3.0,1.0,36.0,9.0,SELF,2005,2005,,0,0,MEAN_BS
4545.0,2.0,1.0,2.0,2.0,2.0,1.0,52.0,1629.356242691453,1.0,2.0,1,3.0,3.0,3.0,1.0,37.0,9.0,SELF,2005,2005,,0,0,MEAN_BS
15549.0,4.0,2.0,1.0,2.0,2.0,1.0,52.0,1426.811970429195,1.0,3.0,1,3.0,8.0,5.0,2.0,45.0,9.0,SELF,2005,2005,,0,0,MEAN_BS
5386.0,1.0,2.0,6.0,4.0,2.0,1.0,3.0,2822.994366824036,1.0,3.0,2,1.0,9.0,,,97.0,1.0,SELF,2005,2005,,0,0,MEAN_BS
9789.0,3.0,2.0,5.0,1.0,2.0,2.0,28.0,714.9656107651575,1.0,2.0,2,1.0,4.0,,,97.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
16121.0,5.0,1.0,1.0,4.0,2.0,1.0,36.0,2969.0459297759667,1.0,2.0,1,2.0,2.0,1.0,2.0,24.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
14874.0,3.0,2.0,1.0,5.0,2.0,1.0,52.0,1954.717361692655,1.0,2.0,1,,3.0,4.0,1.0,40.0,98.0,SELF,2005,2005,,0,0,MEAN_BS
3751.0,2.0,1.0,2.0,2.0,2.0,1.0,52.0,1879.6664045336488,1.0,2.0,1,2.0,9.0,3.0,1.0,35.0,6.0,SELF,2005,2005,,0,0,MEAN_BS
17893.0,2.0,2.0,1.0,2.0,2.0,1.0,42.0,2138.9348814733144,2.0,1.0,1,1.0,2.0,1.0,1.0,15.0,4.0,SELF,2005,2005,,0,0,MEAN_BS
