occID,WGHT_PER,AGEGRP,SEX,MARSTH,HHSIZE,PR,REGION,CMA,DDAY,ACT7DAYS,WKWE,LFTAG,HRSWRK,EDU10,CTW_Q140_C01,CTW_Q140_C02,CTW_Q140_C03,CTW_Q140_C04,CTW_Q140_C05,CTW_Q140_C06,CTW_Q140_C07,CTW_Q140_C08,CTW_Q140_C09,KOL,TOTINC,HRSWRK_RAW,MODE,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,SURVMNTH,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
12,2587.4888,3,2,1,3,48,4,1,1,1,52,1,4.0,2,1,2,2,2,2,2,2,2,2,3.0,4.0,40.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
13,1443.6297,5,2,1,2,59,5,1,3,1,52,1,3.0,2,2,2,1,2,2,2,2,2,2,1.0,,35.0,6,99,SELF,2010,2010,,0,0,MEAN_BS
14,319.9065,6,2,4,1,59,5,1,1,5,97,3,,8,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
15,3392.5273,1,1,6,3,24,2,2,1,6,6,3,,6,7,7,7,7,7,7,7,7,7,2.0,1.0,99.7,,2,SELF,2010,2010,,0,0,MEAN_BS
16,3349.5541,3,1,1,5,35,3,1,1,1,51,1,6.0,6,1,2,2,2,2,2,2,2,2,1.0,,50.0,1,98,SELF,2010,2010,,0,0,MEAN_BS
17,930.83,4,1,1,2,47,4,2,1,2,34,3,,9,7,7,7,7,7,7,7,7,7,1.0,3.0,99.7,,8,SELF,2010,2010,,0,0,MEAN_BS
18,1448.4867,4,1,4,1,24,2,2,1,1,38,1,6.0,2,1,2,2,2,2,2,2,2,2,2.0,3.0,50.0,1,8,SELF,2010,2010,,0,0,MEAN_BS
19,1080.3791,3,2,4,1,24,2,1,1,1,52,1,1.0,4,1,2,2,2,2,2,2,2,2,2.0,2.0,25.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
20,849.5487,4,2,2,2,46,4,2,1,4,97,3,,8,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
21,2010.2047,4,1,1,5,59,5,1,2,1,12,1,8.0,2,1,2,2,2,2,2,2,2,2,1.0,4.0,60.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
22,280.0366,7,2,1,2,11,1,3,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
23,407.0116,4,1,2,2,10,1,1,1,4,97,3,,8,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
24,1684.1732,5,2,1,2,35,3,1,1,4,97,3,,5,7,7,7,7,7,7,7,7,7,3.0,,99.7,,99,SELF,2010,2010,,0,0,MEAN_BS
25,752.089,3,2,1,4,12,1,1,1,1,36,1,2.0,8,1,2,2,2,2,2,2,2,2,1.0,1.0,31.0,1,5,SELF,2010,2010,,0,0,MEAN_BS
26,2857.9813,4,2,4,3,35,3,1,3,1,52,1,4.0,7,1,2,2,2,2,2,2,2,2,2.0,4.0,40.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
27,4749.9762,3,1,1,5,35,3,1,1,1,52,1,5.0,4,1,2,2,2,2,2,2,2,2,3.0,4.0,45.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
28,1800.1603,2,2,6,2,48,4,1,1,8,97,3,,98,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
29,2253.0869,5,1,1,2,48,4,1,1,4,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
30,563.6356,7,2,3,1,47,4,2,3,5,97,3,,2,7,7,7,7,7,7,7,7,7,1.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
31,742.2673,2,2,2,3,10,1,2,2,1,52,1,5.0,4,1,2,2,2,2,2,2,2,2,1.0,5.0,45.0,1,12,SELF,2010,2010,,0,0,MEAN_BS
32,593.2668,6,1,1,2,59,5,1,1,5,97,3,,1,7,7,7,7,7,7,7,7,7,3.0,2.0,99.7,,7,SELF,2010,2010,,0,0,MEAN_BS
33,988.5489,7,2,3,1,48,4,1,1,9,97,3,,10,7,7,7,7,7,7,7,7,7,3.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
34,3184.3775,3,1,1,2,24,2,1,1,1,52,1,5.0,3,1,2,2,2,2,2,2,2,2,3.0,4.0,45.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
35,2082.066,6,2,1,2,59,5,2,1,5,97,3,,1,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
36,2422.0428,5,1,1,2,35,3,1,1,1,52,1,3.0,8,1,2,2,2,2,2,2,2,2,1.0,5.0,35.0,1,11,SELF,2010,2010,,0,0,MEAN_BS
37,990.2591,7,2,3,1,35,3,1,3,5,97,3,,8,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
38,1057.4035,7,1,1,2,46,4,1,2,4,97,3,,4,7,7,7,7,7,7,7,7,7,3.0,1.0,99.7,,4,SELF,2010,2010,,0,0,MEAN_BS
39,3512.473,6,1,1,2,24,2,1,1,5,97,3,,5,7,7,7,7,7,7,7,7,7,2.0,3.0,99.7,,8,SELF,2010,2010,,0,0,MEAN_BS
40,593.0572,5,1,1,2,10,1,2,1,1,52,1,8.0,4,7,7,7,7,7,7,7,7,7,1.0,2.0,60.0,,7,SELF,2010,2010,,0,0,MEAN_BS
41,1907.1896,4,1,6,1,24,2,1,1,1,35,1,8.0,3,1,2,2,2,2,2,2,2,2,2.0,2.0,60.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
42,1424.5442,7,2,3,1,24,2,1,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,2.0,2.0,99.7,,7,SELF,2010,2010,,0,0,MEAN_BS
43,3896.2198,5,1,1,4,35,3,1,1,1,52,1,4.0,4,1,2,2,2,2,2,2,2,2,3.0,3.0,40.0,1,8,SELF,2010,2010,,0,0,MEAN_BS
44,747.5141,7,2,1,2,59,5,1,1,5,97,3,,9,7,7,7,7,7,7,7,7,7,3.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
45,2555.6836,5,2,6,2,24,2,1,1,6,25,3,,2,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
46,2891.9612,4,1,1,5,59,5,1,1,3,8,2,,3,1,2,2,2,2,2,2,2,2,1.0,1.0,99.7,1,4,SELF,2010,2010,,0,0,MEAN_BS
47,1986.2006,7,2,1,2,35,3,1,2,8,97,3,,98,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
48,1109.6555,6,1,1,2,47,4,2,1,1,52,1,3.0,9,2,2,2,1,2,2,2,2,2,1.0,3.0,35.0,3,9,SELF,2010,2010,,0,0,MEAN_BS
49,1088.8996,5,2,5,1,24,2,1,1,6,97,3,,8,7,7,7,7,7,7,7,7,7,2.0,1.0,99.7,,3,SELF,2010,2010,,0,0,MEAN_BS
50,610.4549,3,2,1,2,13,1,2,1,1,52,1,4.0,8,1,2,2,2,2,2,2,2,2,1.0,2.0,44.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
51,3725.1499,4,1,1,3,35,3,1,1,8,97,3,,98,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
52,1167.2077,5,1,1,2,59,5,1,3,5,97,3,,2,7,7,7,7,7,7,7,7,7,3.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
53,921.6192,6,1,3,1,35,3,2,1,8,97,3,,98,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
54,3710.7275,1,1,6,4,48,4,1,1,3,5,1,1.0,99,2,1,2,2,2,2,2,2,2,1.0,1.0,5.0,2,2,SELF,2010,2010,,0,0,MEAN_BS
55,1575.607,6,2,1,2,35,3,2,3,5,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,4,SELF,2010,2010,,0,0,MEAN_BS
56,177.6294,2,2,6,1,10,1,1,1,1,52,1,3.0,4,2,1,2,2,2,2,1,2,2,1.0,2.0,38.0,2,6,SELF,2010,2010,,0,0,MEAN_BS
57,2440.8807,3,2,2,3,24,2,1,3,1,26,1,1.0,5,2,2,2,1,2,2,2,2,2,2.0,2.0,10.0,3,6,SELF,2010,2010,,0,0,MEAN_BS
58,10234.0478,1,1,6,4,48,4,1,1,1,51,1,4.0,7,1,2,2,2,2,2,2,2,2,1.0,2.0,40.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
59,1189.4377,7,2,6,1,24,2,1,1,6,97,3,,3,7,7,7,7,7,7,7,7,7,2.0,2.0,99.7,,7,SELF,2010,2010,,0,0,MEAN_BS
60,1299.1628,2,1,1,4,47,4,1,1,1,52,1,4.0,8,1,2,2,2,2,2,2,2,2,1.0,3.0,40.0,1,9,SELF,2010,2010,,0,0,MEAN_BS
61,218.0744,4,2,5,3,10,1,1,3,1,52,1,4.0,3,1,2,2,2,2,2,2,2,2,1.0,3.0,40.0,1,9,SELF,2010,2010,,0,0,MEAN_BS
62,878.9695,4,2,6,1,48,4,1,1,6,97,3,,5,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
63,898.3255,6,1,1,2,12,1,1,1,1,52,1,1.0,1,2,2,2,1,2,2,2,2,2,1.0,5.0,17.0,3,12,SELF,2010,2010,,0,0,MEAN_BS
64,469.9007,3,1,1,2,11,1,3,1,1,52,1,6.0,2,1,2,2,2,2,2,2,2,2,1.0,3.0,50.0,1,8,SELF,2010,2010,,0,0,MEAN_BS
65,3229.0513,5,1,1,2,48,4,2,1,1,52,1,4.0,10,1,2,2,2,2,2,2,2,2,3.0,2.0,40.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
66,1035.3504,3,2,1,4,59,5,1,1,4,52,1,1.0,7,7,7,7,7,7,7,7,7,7,1.0,2.0,20.0,,7,SELF,2010,2010,,0,0,MEAN_BS
67,1121.5016,5,2,5,1,35,3,1,1,1,52,1,2.0,2,1,2,2,2,2,2,2,2,2,1.0,5.0,30.0,1,12,SELF,2010,2010,,0,0,MEAN_BS
68,1029.7291,5,2,5,1,35,3,1,1,6,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,3,SELF,2010,2010,,0,0,MEAN_BS
69,3207.4022,4,2,1,3,35,3,1,1,1,52,1,1.0,8,1,2,2,2,2,2,2,2,2,1.0,2.0,20.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
70,157.5944,3,1,6,1,10,1,1,3,1,52,1,4.0,5,2,2,2,1,2,2,2,2,2,1.0,4.0,40.0,3,10,SELF,2010,2010,,0,0,MEAN_BS
71,1479.0427,7,1,1,3,46,4,1,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,3.0,99.7,,9,SELF,2010,2010,,0,0,MEAN_BS
72,1282.3482,5,1,6,1,35,3,1,1,1,52,1,4.0,3,2,2,1,2,2,2,2,2,2,1.0,5.0,40.0,6,11,SELF,2010,2010,,0,0,MEAN_BS
73,855.3003,5,1,1,3,47,4,1,2,1,52,1,6.0,8,1,2,2,2,2,2,2,2,2,3.0,4.0,50.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
74,874.0288,6,1,1,2,47,4,2,1,5,97,3,,10,7,7,7,7,7,7,7,7,7,3.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
75,1165.5193,4,2,5,2,59,5,1,1,8,97,3,,98,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
76,2626.1379,6,2,1,2,35,3,1,1,6,97,3,,8,7,7,7,7,7,7,7,7,7,3.0,1.0,99.7,,4,SELF,2010,2010,,0,0,MEAN_BS
77,534.9742,1,1,6,2,13,1,1,1,6,24,1,5.0,9,7,7,7,7,7,7,7,7,7,3.0,1.0,45.0,,2,SELF,2010,2010,,0,0,MEAN_BS
78,736.7357,6,2,1,2,46,4,1,2,5,2,1,1.0,2,7,7,7,7,7,7,7,7,7,3.0,,1.5,,98,SELF,2010,2010,,0,0,MEAN_BS
79,435.7581,7,2,3,1,47,4,1,1,4,97,3,,5,7,7,7,7,7,7,7,7,7,1.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
80,2215.5872,4,1,1,2,59,5,1,1,1,52,1,5.0,6,1,2,2,2,2,2,2,2,2,1.0,4.0,47.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
81,3316.7668,1,1,2,3,35,3,2,2,1,48,1,4.0,8,1,1,2,2,2,2,2,2,2,1.0,2.0,40.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
82,1806.541,4,2,1,2,48,4,2,2,1,52,1,7.0,1,1,2,2,2,2,2,2,2,2,1.0,5.0,57.3,1,11,SELF,2010,2010,,0,0,MEAN_BS
83,4257.2324,3,2,1,4,59,5,1,1,1,44,1,4.0,3,1,2,2,2,2,2,2,2,2,1.0,2.0,40.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
84,888.2167,7,2,1,2,46,4,1,1,5,97,3,,9,7,7,7,7,7,7,7,7,7,1.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
85,1351.5915,5,2,5,1,24,2,1,1,6,97,3,,8,7,7,7,7,7,7,7,7,7,2.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
86,3127.355,3,2,1,5,59,5,1,1,4,97,3,,2,7,7,7,7,7,7,7,7,7,3.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
87,177.2527,6,1,3,1,12,1,1,1,5,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,4.0,99.7,,10,SELF,2010,2010,,0,0,MEAN_BS
88,167.6391,5,2,5,1,10,1,1,1,1,52,1,8.0,2,1,2,2,2,2,2,2,2,2,1.0,4.0,75.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
89,789.5065,5,2,1,2,59,5,1,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,3.0,99.7,,8,SELF,2010,2010,,0,0,MEAN_BS
90,1714.8294,5,2,2,2,35,3,2,1,1,52,1,4.0,8,1,2,2,2,2,2,2,2,2,1.0,3.0,40.0,1,9,SELF,2010,2010,,0,0,MEAN_BS
91,5210.2255,2,2,6,3,35,3,1,1,6,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
92,243.1135,6,2,3,1,59,5,1,2,5,97,3,,9,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
93,1539.5273,7,2,3,1,24,2,1,2,5,97,3,,9,7,7,7,7,7,7,7,7,7,2.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
94,652.1422,4,2,1,2,59,5,1,1,6,4,3,,2,7,7,7,7,7,7,7,7,7,1.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
95,3334.8602,4,1,5,2,59,5,1,1,4,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
96,3749.3277,3,2,1,3,35,3,1,1,4,97,3,,2,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
97,5271.6888,3,2,2,4,35,3,2,1,1,10,1,4.0,4,1,2,2,2,2,2,2,2,2,1.0,2.0,43.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
98,1704.8375,5,1,1,2,59,5,1,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,7,SELF,2010,2010,,0,0,MEAN_BS
99,633.2397,6,2,5,1,59,5,1,2,5,97,3,,9,7,7,7,7,7,7,7,7,7,3.0,1.0,99.7,,5,SELF,2010,2010,,0,0,MEAN_BS
100,1862.9295,6,2,1,2,35,3,1,3,8,97,3,,98,7,7,7,7,7,7,7,7,7,,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
101,759.1314,5,2,1,2,12,1,1,3,1,52,1,2.0,8,1,2,2,2,2,2,2,2,1,1.0,3.0,33.0,1,8,SELF,2010,2010,,0,0,MEAN_BS
102,365.5159,7,2,3,1,12,1,1,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
103,4053.0525,3,1,1,4,35,3,1,1,1,52,1,4.0,3,1,2,2,2,2,2,2,1,2,3.0,,40.0,1,98,SELF,2010,2010,,0,0,MEAN_BS
104,5286.696,2,2,6,4,35,3,1,1,1,52,1,4.0,2,1,2,2,2,2,2,2,2,2,1.0,2.0,43.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
105,2732.9065,5,2,1,2,24,2,1,1,5,97,3,,3,7,7,7,7,7,7,7,7,7,2.0,1.0,99.7,,4,SELF,2010,2010,,0,0,MEAN_BS
106,298.4272,4,2,4,1,59,5,1,1,1,52,1,1.0,1,1,2,2,2,2,2,2,2,2,1.0,2.0,15.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
107,2956.4552,5,1,1,3,35,3,1,1,1,52,1,5.0,2,1,2,2,2,2,2,2,2,2,1.0,5.0,45.0,1,12,SELF,2010,2010,,0,0,MEAN_BS
108,6601.2884,1,1,6,3,59,5,1,1,1,8,1,4.0,4,1,2,2,2,2,2,2,2,2,1.0,1.0,40.0,1,3,SELF,2010,2010,,0,0,MEAN_BS
109,1040.1473,4,1,6,1,35,3,1,2,1,52,1,4.0,2,1,2,2,2,2,2,2,2,2,1.0,5.0,40.0,1,12,SELF,2010,2010,,0,0,MEAN_BS
110,765.9674,3,2,1,5,13,1,2,1,4,52,1,1.0,4,7,7,7,7,7,7,7,7,7,1.0,1.0,24.0,,4,SELF,2010,2010,,0,0,MEAN_BS
111,214.8709,6,2,4,1,46,4,1,1,4,97,3,,10,7,7,7,7,7,7,7,7,7,3.0,1.0,99.7,,4,SELF,2010,2010,,0,0,MEAN_BS
112,351.6767,2,1,1,3,13,1,1,1,4,52,1,1.0,3,7,7,7,7,7,7,7,7,7,1.0,2.0,20.0,,6,SELF,2010,2010,,0,0,MEAN_BS
113,384.6923,7,2,1,2,10,1,1,1,4,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
114,2184.6358,4,2,1,4,48,4,1,3,4,52,1,3.0,9,7,7,7,7,7,7,7,7,7,1.0,2.0,35.0,,6,SELF,2010,2010,,0,0,MEAN_BS
115,822.3435,6,1,1,2,12,1,1,1,1,52,1,8.0,4,2,2,2,1,2,2,2,2,2,1.0,2.0,70.0,3,7,SELF,2010,2010,,0,0,MEAN_BS
116,248.8953,4,1,1,3,10,1,1,1,1,52,1,2.0,2,1,2,2,2,2,2,2,2,2,1.0,3.0,32.5,1,9,SELF,2010,2010,,0,0,MEAN_BS
117,2611.4578,5,1,2,2,35,3,1,3,1,52,1,4.0,3,1,2,2,2,2,2,2,2,2,1.0,5.0,40.0,1,11,SELF,2010,2010,,0,0,MEAN_BS
118,3077.1262,3,2,1,3,35,3,1,1,1,34,1,6.0,3,1,2,2,2,2,2,2,2,2,1.0,2.0,50.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
119,1099.5619,2,1,1,4,12,1,1,1,1,52,1,8.0,3,1,2,2,2,2,2,2,2,2,1.0,4.0,75.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
120,2966.6045,3,1,2,2,48,4,2,1,2,48,3,,8,7,7,7,7,7,7,7,7,7,1.0,3.0,99.7,,8,SELF,2010,2010,,0,0,MEAN_BS
121,5120.9178,2,2,2,3,24,2,1,1,4,52,1,1.0,4,7,7,7,7,7,7,7,7,7,2.0,2.0,20.0,,6,SELF,2010,2010,,0,0,MEAN_BS
122,456.0595,6,2,1,2,10,1,2,1,4,97,3,,10,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,3,SELF,2010,2010,,0,0,MEAN_BS
123,2913.2438,6,1,1,2,24,2,2,1,5,97,3,,9,7,7,7,7,7,7,7,7,7,2.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
124,2798.3976,6,2,1,2,35,3,1,2,5,97,3,,7,7,7,7,7,7,7,7,7,7,1.0,,99.7,,99,SELF,2010,2010,,0,0,MEAN_BS
125,6946.9674,2,2,1,4,35,3,1,1,1,52,1,4.0,3,1,2,2,2,2,2,2,2,2,1.0,2.0,42.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
126,539.865,5,2,1,2,59,5,1,3,1,52,1,5.0,1,1,2,2,2,2,2,2,2,2,1.0,5.0,45.0,1,12,SELF,2010,2010,,0,0,MEAN_BS
127,1368.1119,3,2,5,3,35,3,1,1,1,52,1,4.0,9,1,2,2,2,2,2,2,2,2,1.0,2.0,40.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
128,1417.6196,2,2,1,5,46,4,1,1,4,97,3,,3,7,7,7,7,7,7,7,7,7,1.0,1.0,99.7,,1,SELF,2010,2010,,0,0,MEAN_BS
129,866.918,4,1,5,1,59,5,1,2,1,24,,,3,1,2,2,2,2,2,2,2,2,1.0,3.0,99.9,1,9,SELF,2010,2010,,0,0,MEAN_BS
130,3310.3673,2,1,2,2,35,3,2,3,1,52,1,4.0,4,1,2,2,2,2,2,2,2,2,1.0,2.0,40.0,1,7,SELF,2010,2010,,0,0,MEAN_BS
131,2575.737,3,1,2,2,59,5,1,3,1,52,1,4.0,9,2,2,1,2,2,2,2,2,2,1.0,2.0,40.0,6,7,SELF,2010,2010,,0,0,MEAN_BS
132,2508.701,1,1,6,5,59,5,1,3,3,97,2,,9,2,1,2,2,2,2,2,2,2,3.0,1.0,99.7,2,1,SELF,2010,2010,,0,0,MEAN_BS
133,2301.287,4,2,1,2,48,4,1,1,4,97,3,,9,7,7,7,7,7,7,7,7,7,1.0,,99.7,,98,SELF,2010,2010,,0,0,MEAN_BS
134,2516.2062,2,2,2,3,48,4,1,1,1,52,,,98,8,8,8,8,8,8,8,8,8,,,99.8,,98,SELF,2010,2010,,0,0,MEAN_BS
135,3156.2482,4,1,1,2,59,5,1,1,1,52,1,8.0,1,1,2,2,2,2,2,2,2,2,1.0,5.0,75.0,1,11,SELF,2010,2010,,0,0,MEAN_BS
136,438.714,6,1,3,1,47,4,2,1,1,52,1,8.0,2,1,2,2,2,2,2,2,2,2,1.0,5.0,60.0,1,12,SELF,2010,2010,,0,0,MEAN_BS
137,2420.726,3,1,1,4,35,3,1,1,1,52,1,7.0,8,1,2,2,2,2,2,2,2,2,1.0,4.0,55.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
138,1410.5379,4,1,2,2,47,4,2,3,1,52,1,8.0,8,2,2,2,1,2,2,2,2,2,1.0,3.0,70.0,3,8,SELF,2010,2010,,0,0,MEAN_BS
139,1861.343,5,1,2,2,35,3,1,1,1,52,1,4.0,8,2,2,2,1,2,2,2,2,2,1.0,2.0,40.0,3,6,SELF,2010,2010,,0,0,MEAN_BS
140,606.4287,7,2,3,1,12,1,2,1,4,97,3,,10,7,7,7,7,7,7,7,7,7,1.0,,99.7,,99,SELF,2010,2010,,0,0,MEAN_BS
141,1914.3708,7,2,1,2,35,3,1,1,5,97,3,,4,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
142,125.0324,3,2,5,3,10,1,1,1,1,52,1,8.0,5,1,2,2,2,2,2,2,2,2,1.0,4.0,60.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
143,358.8895,3,2,1,4,10,1,1,3,6,52,1,3.0,3,7,7,7,7,7,7,7,7,7,1.0,2.0,35.0,,6,SELF,2010,2010,,0,0,MEAN_BS
144,639.4185,5,2,6,2,59,5,1,1,1,48,1,1.0,3,7,7,7,7,7,7,7,7,7,1.0,,21.0,,98,SELF,2010,2010,,0,0,MEAN_BS
145,4029.1075,1,2,6,4,59,5,1,3,3,14,2,,9,2,1,2,2,2,2,2,2,2,1.0,1.0,99.7,2,2,SELF,2010,2010,,0,0,MEAN_BS
146,2831.9285,5,1,1,2,35,3,1,2,5,97,3,,8,7,7,7,7,7,7,7,7,7,1.0,3.0,99.7,,8,SELF,2010,2010,,0,0,MEAN_BS
147,2658.6627,3,2,2,4,35,3,1,1,4,26,3,,3,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
148,630.8566,6,1,6,1,48,4,1,1,5,97,3,,9,7,7,7,7,7,7,7,7,7,1.0,3.0,99.7,,9,SELF,2010,2010,,0,0,MEAN_BS
149,2224.2937,1,1,6,2,24,2,1,3,3,52,1,1.0,3,1,2,2,2,2,2,2,2,2,2.0,2.0,4.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
