occID,WGHT_PER,AGEGRP,SEX,MARSTH,HHSIZE,PR,REGION,CMA,DDAY,ACT7DAYS,WKWE,LFTAG,HRSWRK,EDU10,CTW_Q140_C01,CTW_Q140_C02,CTW_Q140_C03,CTW_Q140_C04,CTW_Q140_C05,CTW_Q140_C06,CTW_Q140_C07,CTW_Q140_C08,CTW_Q140_C09,KOL,TOTINC,HRSWRK_RAW,MODE,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,SURVMNTH,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
1,783.2435,4,2,1,4,47,4,1,2,1,52,1,4.0,2,1,2,2,2,2,2,2,2,2,1.0,5.0,40.0,1,11,SELF,2010,2010,,0,0,MEAN_BS
2,2418.5434,3,1,1,2,35,3,2,3,1,52,1,4.0,4,1,2,2,2,2,2,2,2,2,1.0,2.0,44.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
3,1088.8421,4,1,6,1,35,3,1,1,6,97,3,,6,7,7,7,7,7,7,7,7,7,1.0,2.0,99.7,,6,SELF,2010,2010,,0,0,MEAN_BS
4,1402.0308,4,1,6,1,24,2,1,2,1,52,1,3.0,1,7,7,7,7,7,7,7,7,7,2.0,5.0,35.0,,11,SELF,2010,2010,,0,0,MEAN_BS
5,707.0782,6,1,1,2,35,3,1,1,1,36,1,3.0,1,1,2,2,2,2,2,2,2,2,1.0,4.0,35.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
6,1322.8673,3,1,1,4,46,4,2,1,1,52,1,8.0,2,2,2,2,1,2,2,2,2,2,3.0,4.0,60.0,3,10,SELF,2010,2010,,0,0,MEAN_BS
7,2368.5854,3,2,2,4,24,2,1,1,1,52,1,2.0,8,1,2,2,2,2,2,2,2,2,2.0,2.0,30.0,1,6,SELF,2010,2010,,0,0,MEAN_BS
8,1403.2622,1,2,6,4,10,1,1,1,3,20,1,1.0,9,1,1,2,2,2,2,2,2,2,1.0,1.0,12.0,1,2,SELF,2010,2010,,0,0,MEAN_BS
9,339.0816,6,1,1,2,47,4,1,1,1,52,1,2.0,9,1,2,2,2,2,2,2,2,2,1.0,3.0,32.5,1,8,SELF,2010,2010,,0,0,MEAN_BS
10,2683.89,5,2,1,2,59,5,1,1,1,52,1,2.0,3,1,2,2,2,2,2,2,2,2,1.0,4.0,30.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
11,3612.7803,2,1,6,1,48,4,1,3,1,52,1,4.0,4,1,2,2,2,2,2,2,2,2,1.0,4.0,40.0,1,10,SELF,2010,2010,,0,0,MEAN_BS
