occID,SURVMNTH,AGEGRP,SEX,MARSTH,HHSIZE,PR,CMA,LFTAG,WET_120,NOCS,HRSWRK,CTW_140A,CTW_140B,CTW_140C,CTW_140D,CTW_140E,CTW_140I,MODE,EDC_10,KOL,TOTINC,WGHT_PER,DDAY,HRSWRK_RAW,TOTINC_RAW,TOTINC_SOURCE,CYCLE_YEAR,SURVYEAR,COLLECT_MODE,TUI_10_AVAIL,BS_TYPE
1000.0,1.0,5.0,2.0,1.0,2.0,59.0,1.0,3,6.0,,,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,1.0,1.0,451.5258,5.0,96.0,1.0,CRA,2022,2022,1,1,STANDARD_BS
1001.0,10.0,6.0,2.0,6.0,1.0,59.0,1.0,3,6.0,,,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,1.0,3.0,614.7484,2.0,96.0,3.0,CRA,2022,2022,1,1,STANDARD_BS
1002.0,11.0,4.0,1.0,4.0,3.0,48.0,1.0,1,2.0,7.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1792.3825,5.0,4.0,2.0,CRA,2022,2022,1,1,STANDARD_BS
1003.0,11.0,6.0,1.0,2.0,2.0,11.0,3.0,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,134.9846,7.0,1.0,2.0,CRA,2022,2022,1,1,STANDARD_BS
1004.0,10.0,3.0,1.0,1.0,4.0,35.0,1.0,1,1.0,7.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1972.8571,7.0,4.0,3.0,CRA,2022,2022,1,1,STANDARD_BS
1005.0,5.0,3.0,1.0,1.0,3.0,59.0,1.0,1,2.0,8.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,6314.0003,1.0,7.0,2.0,CRA,2022,2022,1,1,STANDARD_BS
1006.0,2.0,2.0,1.0,1.0,4.0,24.0,1.0,1,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,4926.6592,7.0,6.0,1.0,CRA,2022,2022,1,1,STANDARD_BS
1007.0,5.0,7.0,2.0,5.0,1.0,24.0,1.0,3,6.0,,,6.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,1.0,2430.5887,4.0,96.0,1.0,CRA,2022,2022,1,1,STANDARD_BS
1008.0,4.0,6.0,2.0,6.0,3.0,59.0,1.0,3,6.0,,,6.0,6.0,6.0,6.0,6.0,6.0,1.0,2.0,1.0,4.0,2980.0492,2.0,96.0,4.0,CRA,2022,2022,1,1,STANDARD_BS
1009.0,9.0,3.0,2.0,1.0,4.0,48.0,1.0,1,1.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3852.9338,2.0,2.0,1.0,CRA,2022,2022,1,1,STANDARD_BS
1010.0,12.0,3.0,1.0,1.0,4.0,35.0,1.0,1,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,5.0,3239.248,7.0,7.0,5.0,CRA,2022,2022,1,1,STANDARD_BS
1011.0,12.0,4.0,2.0,1.0,5.0,46.0,1.0,1,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4358.2193,4.0,3.0,4.0,CRA,2022,2022,1,1,STANDARD_BS
1012.0,3.0,4.0,1.0,1.0,2.0,35.0,1.0,1,1.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,4420.7922,3.0,5.0,5.0,CRA,2022,2022,1,1,STANDARD_BS
1013.0,10.0,1.0,2.0,3.0,5.0,35.0,1.0,1,1.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,29463.3652,2.0,5.0,3.0,CRA,2022,2022,1,1,STANDARD_BS
1014.0,5.0,5.0,1.0,1.0,4.0,59.0,1.0,1,1.0,8.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3317.0713,4.0,4.0,3.0,CRA,2022,2022,1,1,STANDARD_BS
1015.0,9.0,2.0,2.0,3.0,3.0,35.0,1.0,1,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,8662.7966,4.0,4.0,4.0,CRA,2022,2022,1,1,STANDARD_BS
