Scenario,Toronto (5A),Montreal (6A),Winnipeg (7)
2005 GSS,+12.6% / -23.8%,+11.2% / -21.3%,+10.3% / -23.3%
2015 GSS,+9.2% / -17.8%,+12.6% / -27.1%,+10.4% / -24.9%
2025 GSS,+6.0% / -13.3%,+5.4% / -11.9%,+3.9% / -10.3%
