,Default,2005,2015,2025
Weekday occupied hours (h),16.4,15.8,17.6,11.2
Weekend occupied hours (h),16.4,13.9,15.6,12.0
Morning departure time,08:00,10:00,08:00,08:00
Evening return time,18:00,17:00,17:00,17:00
"Daytime vacancy (09–17), %",74.4,40.3,40.0,72.4
