[SECTION] Annual Energy Demand Metrics (Aggregated)
Category,Scenario,Mean(kWh/m2),StdDev,CI_Lower,CI_Upper
Heating,2025,88.6495,2.5737,87.9847,89.3144
Heating,2015,94.1347,4.3710,93.0055,95.2638
Heating,2005,94.0483,4.7418,92.8233,95.2732
Heating,Default,85.2949,0.0000,85.2949,85.2949
Cooling,2025,1.7908,0.1819,1.7438,1.8378
Cooling,2015,1.5003,0.2723,1.4300,1.5707
Cooling,2005,1.5316,0.3048,1.4528,1.6103
Cooling,Default,1.9969,0.0000,1.9969,1.9969
Lighting,2025,3.5275,0.6071,3.3707,3.6843
Lighting,2015,2.4480,0.8030,2.2406,2.6555
Lighting,2005,2.5756,0.9743,2.3239,2.8273
Lighting,Default,4.3790,0.0000,4.3790,4.3790
Equipment,2025,45.7074,3.2677,44.8633,46.5515
Equipment,2015,38.1518,4.8647,36.8951,39.4085
Equipment,2005,38.8760,5.8506,37.3646,40.3874
Equipment,Default,48.0281,0.0000,48.0281,48.0281
DHW,2025,11.0004,1.7184,10.5565,11.4443
DHW,2015,6.5639,3.0258,5.7822,7.3455
DHW,2005,7.0338,3.5853,6.1076,7.9600
DHW,Default,12.6554,0.0000,12.6554,12.6554

[SECTION] Statistical Variability (Reference: Default)
Category,Comparison,P-Value,Significant?,Cohens_D
Heating,ANOVA (2005-2015-2025),0.00000,Yes,-
Heating,2025 vs Default,0.00000,Yes,1.3034
Heating,2015 vs Default,0.00000,Yes,2.0224
Heating,2005 vs Default,0.00000,Yes,1.8460
Cooling,ANOVA (2005-2015-2025),0.00000,Yes,-
Cooling,2025 vs Default,0.00000,Yes,-1.1333
Cooling,2015 vs Default,0.00000,Yes,-1.8235
Cooling,2005 vs Default,0.00000,Yes,-1.5268
Lighting,ANOVA (2005-2015-2025),0.00000,Yes,-
Lighting,2025 vs Default,0.00000,Yes,-1.4026
Lighting,2015 vs Default,0.00000,Yes,-2.4047
Lighting,2005 vs Default,0.00000,Yes,-1.8510
Equipment,ANOVA (2005-2015-2025),0.00000,Yes,-
Equipment,2025 vs Default,0.00000,Yes,-0.7102
Equipment,2015 vs Default,0.00000,Yes,-2.0302
Equipment,2005 vs Default,0.00000,Yes,-1.5643
DHW,ANOVA (2005-2015-2025),0.00000,Yes,-
DHW,2025 vs Default,0.00000,Yes,-0.9631
DHW,2015 vs Default,0.00000,Yes,-2.0132
DHW,2005 vs Default,0.00000,Yes,-1.5679

[SECTION] Raw Simulation Data (Per Simulation)
Run_ID,Scenario,Heating,Cooling,Lighting,Equipment,DHW
1,2005,91.3336,1.7064,3.1309,42.1919,9.0822
2,2005,98.5116,1.2441,1.7153,33.5764,3.8148
3,2005,98.6338,1.2334,1.5964,33.4539,3.7394
4,2005,98.3056,1.2569,1.7153,33.5764,3.8148
5,2005,98.3557,1.2541,1.7153,33.5764,3.8148
6,2005,91.5188,1.6845,3.1309,42.1919,9.0822
7,2005,98.2885,1.2667,1.7153,33.5764,3.8148
8,2005,91.0820,1.7554,3.1309,42.1919,9.0822
9,2005,91.4012,1.6988,3.1309,42.1919,9.0822
10,2005,86.8439,1.9915,4.0912,48.0281,12.6554
11,2005,98.2543,1.2768,1.7153,33.5589,3.7249
12,2005,86.8797,1.9839,4.0912,48.0106,12.5655
13,2005,98.2673,1.2727,1.7153,33.5764,3.8148
14,2005,92.0159,1.6096,3.0247,41.8019,8.6807
15,2005,91.4039,1.6991,3.1309,42.1919,9.0822
16,2005,97.9744,1.3123,1.7153,33.5764,3.8148
17,2005,98.4167,1.2554,1.7153,33.5764,3.8148
18,2005,91.8031,1.6446,3.1309,42.1919,9.0822
19,2005,91.3667,1.7101,3.1309,42.1919,9.0822
20,2005,91.2261,1.7199,3.1309,42.1919,9.0822
21,2005,98.3856,1.2539,1.7153,33.5764,3.8148
22,2005,98.4098,1.2603,1.7153,33.5414,3.6235
23,2005,98.5620,1.2371,1.7153,33.5327,3.7047
24,2005,91.2417,1.7067,3.1309,42.1919,9.0822
25,2005,87.1382,1.9401,4.0912,48.0281,12.6554
26,2005,98.3012,1.2605,1.7153,33.5764,3.8148
27,2005,86.7309,2.0184,4.0912,48.0281,12.6554
28,2005,91.3611,1.6997,3.1309,42.1919,9.0822
29,2005,98.5940,1.2344,1.7153,33.4364,3.4786
30,2005,87.1382,1.9401,4.0912,48.0281,12.6554
31,2005,86.1267,2.0706,4.0912,48.0106,12.5655
32,2005,91.6139,1.6618,3.1309,42.1919,9.0822
33,2005,91.3675,1.7167,3.1309,42.1919,9.0822
34,2005,99.9251,1.1138,1.1204,32.0364,2.9221
35,2005,98.0706,1.2947,1.7153,33.5764,3.8148
36,2005,86.7240,2.0106,4.0912,48.0281,12.6554
37,2005,99.7660,1.1332,1.3570,31.9926,2.9225
38,2005,91.1706,1.7028,3.1309,42.1919,9.0822
39,2005,98.7386,1.2120,1.5317,33.1739,3.6380
40,2005,98.1776,1.2761,1.7153,33.5764,3.8148
41,2005,98.3984,1.2515,1.7153,33.5764,3.8148
42,2005,98.0373,1.2982,1.7153,33.5764,3.8148
